speaker,start_time,end_time,text
MATT,00:08:45,00:08:47,Go ahead and have a seat.
MARISHA,00:08:47,00:08:51,Speaking of amazing artists. We want to do a shout out.
ORION,00:08:51,00:08:53,There's a couple more announcements. This one.
MARISHA,00:08:53,00:08:55,"This one, yes."
ORION,00:08:55,00:09:01,Our wonderful artists. Kit Buss and...
MARISHA,00:09:01,00:09:21,"Kit Buss and Wendy Doodles. Wendy Green. They're awesome friends of ours and fans of the show. They do amazing work. They've done a lot of the character work that you've seen, and they're going to be doing a lot more, and we just wanted to really appreciate them and show them some love, so yes. Go follow."
ORION,00:09:21,00:09:25,Our artists. As Laura would say.
LAURA,00:09:25,00:09:27,That's good. That's very see-able.
MARISHA,00:09:27,00:09:32,Okay. Is it see-able now? I want to make sure. Go follow them. They deserve it.
MATT,00:09:32,00:09:49,"They've been really amazing. I know many of you have asked about what's the backstory to Vox Machina? What's that history before the stream started? We're working on something. It may take a little bit, but one or more of those artists may be involved. But when we do have that available to you, it should be really cool, and I hope you'll enjoy it. Anyway."
ORION,00:09:49,00:09:59,"Oh, also, since this is fantasy, I'd like to announce that my show went pretty well that's on Mondays, 7-10 on this channel."
TALIESIN,00:09:59,00:10:01,You have a show? What kind of show is it?
ORION,00:10:01,00:10:46,"Ooh, I'm glad you asked, Taliesin. It is me and Jessica Merizan playing Final Fantasy XIV. We just found each other in the same world. There's a free company we're going to start. You can come on and join if you're already subscribing. We do giveaways for subscribers who are watching and active in the chat during the show for stuff with Square Enix. It's all good times. I'm happy to say that Taliesin, man, Thancred is still in this version of Final Fantasy XIV, so you can check his work out too, and he's awesome. The funny thing is I didn't know your character was like a badass. So I was listening to him and I was like ""Oh fuck"". Yeah, he's great. So check it out. Every Monday 7-10 on the channel."
MATT,00:10:46,00:10:54,"There you go. Also all you League fans out there, I hope you're enjoying your new Bilgewater update. Anyone else have any announcements they want to make?"
LAURA,00:10:54,00:11:02,Oh we're going to be at Otakon this weekend in Baltimore. Come say hi! We're leaving right after this.
TALIESIN,00:11:02,00:11:17,"I've got a tiny announcement, which is Ant-Man the movie is really good. If you like Ant-Man the movie, you can hear me as Ant-Man, being not nearly as funny, in the pinball game. I'm not nearly as funny as Paul Rudd."
ORION,00:11:17,00:11:18,Oh pish posh.
ZAC,00:11:18,00:11:21,Matt? We've got another giveaway.
TALIESIN,00:11:21,00:11:22,Yeah!
MARISHA,00:11:22,00:11:24,"(singing) Eight-foot Trinket, here we come!"
ZAC,00:11:24,00:11:26,OhGreatLampShade.
MATT,00:11:26,00:11:29,OhGreatLampShade is the winner of our next giveaway.
LIAM,00:11:29,00:11:34,"OhGreatLampShade, we thank thee for thy mercy."
MATT,00:11:34,00:11:43,"Congratulations. Player's Handbook signed, picture signed, and nail wraps. And a step closer to giant eight-foot Trinket."
TRAVIS,00:11:43,00:11:45,Don't do it. No more.
LIAM,00:11:45,00:11:48,Are you sad that you will no longer be the tallest member of our group?
LAURA,00:11:48,00:11:56,I feel like we're just delaying starting because we're going to have to face that fact that Pike isn't with us as soon as we start.
TRAVIS,00:11:56,00:11:59,And Scanlan's still in the pooper. He's not really.
MARISHA,00:11:59,00:12:00,"Yeah, where is Scanlan?"
LIAM,00:12:00,00:12:04,He's shitting on a bed somewhere. It's his thing.
MATT,00:12:04,00:12:05,Is he on his way?
LAURA,00:12:05,00:12:06,"He's on his way, yeah."
MATT,00:12:06,00:12:08,Well when he arrives... In the meantime--
TRAVIS,00:12:08,00:12:10,Where are you going?
ORION,00:12:10,00:12:12,I'm going to get something to drink.
LAURA,00:12:12,00:12:14,He's getting a drink.
MATT,00:12:14,00:12:17,Okay. As Tiberius has an aneurysm and falls to the ground--
TRAVIS,00:12:17,00:12:27,"Yes! I go over and provide very vigorous CPR. No mouth to mouth, just that hand part."
MATT,00:12:27,00:12:31,"Yeah. All right, make a death save."
ORION,00:12:31,00:12:38,What? Ow! (cheering)
ORION,00:12:38,00:12:40,And I brought Scanlan with me.
MARISHA,00:12:40,00:12:42,(laughs) Like a trailing fart.
TRAVIS,00:12:42,00:12:44,"(laughing) ""Like a trailing fart."""
ORION,00:12:44,00:12:47,That couldn't have worked out better.
SAM,00:12:47,00:12:50,Oh really?
