speaker,start_time,end_time,text
MATT,00:00:00,00:00:21,"Welcome, and hello everyone to the next episode of Critical Role. A silly show where a bunch of us voice actors get together and play Dungeons and Dragons on Geek and Sundry's twitch stream. So for returning fans, welcome, and to all the new folks tuning in finally, welcome to you as well. So before we get into the meat, a few announcements and such, let's roll that intro."
TRAVIS,00:00:21,00:01:29,Silly? [dramatic music]
MATT,00:01:29,00:01:59,"And welcome back. So, a couple things I want to get off the bat to you guys. Our subscription giveaways this evening. For every hundred subscribers, we are giving away special care packages with D&D books signed by the Critical Role crew, as well as a signed photo, comics, other goodies. So the next one will be at 5,300, we will do another giveaway. Remember, you have to be in the chat room to be able to acquire one of these packages. So tune in to get something. Keep that in mind."
LAURA,00:01:59,00:02:00,Yeah.
MATT,00:02:00,00:03:20,"Also, for those who may not remember from last week, we are in a very interesting month of Critical Role, as the party has been split due to a circumstance where, in the city of Vasselheim, the party, chasing after a hydra that seemed to be harrying the outside walls of the city and slaying it, got in the way and accidentally broke the laws of the Vasselheim by hunting and slaying when they weren't approved to do so. Being called skags by a band of hunters that works for the Slayer's Take guildhall. A guild that pretty much regulates most hunting of monsters and creatures within the vicinity of Vasselheim. So, as opposed to going up and dealing with charges at the seat of justice, they instead were given the option by the head of the guild hall to possibly join, but in order to do so, they would have to fulfill a contract and prove themselves worthy of being a member of the guild. And the guild master, our fantastic Huntmaster Vanessa Cyndrial, hand-picked two different groups, splitting up the twins, and they have all set out to return the next day to join, and figure out what their contract will be. So, this week we have playing: we have Grog. We have Vex'ahlia. We have Percy. We have the shortly arriving here Scanlan, who has been fighting L.A. traffic."
TRAVIS,00:03:20,00:03:22,He's here! (cheering)
MATT,00:03:22,00:03:24,"Quite literally shortly arriving, Scanlan."
TRAVIS,00:03:24,00:03:26,"Like Superman, that was amazing."
MATT,00:03:26,00:03:50,"And eventually to join the party as they slowly make their way there-- mysterious head kiss. This is the best Thursday ever. We have joining us eventually at some point we have the very wonderful and talented Mary Elizabeth McGlynn. A fantastic, talented voice actress and director and amazing person."
MARY,00:03:50,00:03:53,"Hello, sorry."
MATT,00:03:53,00:04:00,"So look her stuff up online. She is also a great musician, singer, and this is her first time playing Dungeons and Dragons."
TRAVIS,00:04:00,00:04:01,Newbie!
MARY,00:04:01,00:04:02,Newbie!
MATT,00:04:02,00:04:04,"Yeah, I'm super excited."
TRAVIS,00:04:04,00:04:05,I'm going to kill you.
MARY,00:04:05,00:04:06,Yes.
MATT,00:04:06,00:04:19,"Probably. And in the middle of the other table, we have our other illustrious guest this evening. The so-called headmaster of Geek and Sundry herself, Felicia Day. Thank you for joining us, Felicia. (cheering)"
FELICIA,00:04:19,00:04:21,"I like to refer to myself as Duchess, Grand Duchess."
MATT,00:04:21,00:04:23,"Grand Duchess, also viable."
SAM,00:04:23,00:04:24,Golf claps.
FELICIA,00:04:24,00:04:26,"Golf claps, very appropriate."
MATT,00:04:26,00:04:30,"(laughs) So yeah, thank you so much for joining."
FELICIA,00:04:30,00:04:35,"I'm so excited to be here. I'm a huge fan of the show, so I spend my Thursdays watching you guys."
SAM,00:04:35,00:04:37,Who is your favorite character on the show?
LAURA,00:04:37,00:04:39,"Say Trinket, say Trinket"
FELICIA,00:04:39,00:04:42,Not the one with the scatological problem.
SAM,00:04:42,00:04:46,I think of it more as a gift. (laughter)
TALIESIN,00:04:46,00:04:48,That keeps giving and giving and...
MARY,00:04:48,00:04:50,The one who likes to talk to poo.
TRAVIS,00:04:50,00:04:53,"Well that's a lot of us, actually."
