speaker,start_time,end_time,text
MATT,00:00:00,00:00:43,"Hello, everyone, and welcome back to Critical Role this week, where us crazy voice actors play a nerdy game of Dungeons and Dragons! I'm so glad you guys could join us. We had a small hiatus last week as me and Marisha were away at a cool event in the desert, but we're back. I want to give a big thanks and shout-out to Ivan for running that one-shot game last week. Ivan, you kicked ass, you were awesome, and thank you for carrying the torch when we couldn't be here. Really appreciate that. And for those who tuned in for him and supporting: thank you guys. Quick little shout-out. We had actually one of our fellow Critters come find us out in the desert this past week. So a shout-out to our friend Scott from Boise, Idaho. Operator, thank you so much for coming and visiting. It was awesome getting to chat with you, and it was cool."
MARISHA,00:00:43,00:00:44,"Yeah, that was a surrealist experience."
MATT,00:00:44,00:02:40,"Yeah, we had some cool Critical Role representation out on the Playas. That was really neat. Thank you so much. It was awesome to meet you, Scott, and thanks for coming by. Other fun announcements... This is a cool thing that came up, actually. Hasbro's working with Indiegogo right now to do essentially the search for their new face-to-face party game circumstance. So they're accepting a bunch of submissions right now. I think it's nextgreatgamechallenge.com, but if you're like me and spent a lot of your youth spending your summers designing your own card games and your own board games and your own party games and such that just sat there and did nothing, now is actually a really cool opportunity to submit those and possibly get them published. Because the person who wins, wins $10,000 on top of the fact that they get flown out to Hasbro, to the actual company building to work on developing the game with their development team. So that's pretty cool. (laughs) So those of you who have that little game design brain, go ahead and throw your ideas out that way. Submit to this! Hopefully you could win. The thing goes to September 30th? You don't have a whole lot of time, so get on it. But check it out! A possible opportunity for you to design your own game. Who knows, maybe one day we'll be playing it on this Twitch stream. So check that out. Also, Welovefine is running a t-shirt design contest for the upcoming Rage of Dragons Dungeons and Dragons release, and they've asked me to be one of the judges of that contest. So all you people with an artistic bone in your body, go ahead and design some t-shirts. Go to welovefine.com, check out the contest rules for the Rage of Demons contest. But I'll be judging your designs! And hopefully if yours is appreciated by me and all the other judges, you'll be getting a cash prize and have your shirts officially sanctioned by D&D and put on welovefine.com, so check that out! That's a cool thing! I've already seen some great art. Some people have floated over to Twitter. If I haven't responded, it's because I'm a judge and I probably shouldn't. (laughs) But everything looks cool, so thank you guys for your submissions."
TRAVIS,00:02:40,00:02:43,Do you accept cash bribes?
MATT,00:02:43,00:03:43,"(laughs) No. Other cool announcements. Oh! Once again, every week we have our hundred sub giveaway. Every hundred subs we get, we have a giveaway with somebody randomly within the chat who is actively in the chat. This involves a picture of the cast, signed, one of our posters from our fantastic official artist Kit Buss, signed, and for a few short giveaways, we'll also be giving away a copy of this Pen to Paper Imaginary Friend book that we received, gifted to us by 826LA. It's a book of a collection of stories from the kids that have been tutored at 826LA that told stories about their imaginary friends and what they were like, and their adventures. And they had a lot of talented artists and animators come in and actually illustrate what these imaginary friends look like and what their experiences are with those imaginary friends. So we'll be giving one of these away with each one of those hundred sub giveaways to you guys who have been so gracious in helping support 826LA."
MARISHA,00:03:43,00:03:45,Yes. And we went today!
MATT,00:03:45,00:04:01,"We went today to 826LA to deliver a nice, big, fatty check to them from you guys, and they were blown away by it. We got to teach a bunch of young kids the basics of Dungeons and Dragons, and we gave them copies of the books to hopefully start a few games of their own there, so thank you."
MARISHA,00:04:01,00:04:14,"This was such a great experience, and we took video of it, so hopefully we'll have that edited and maybe sometime next week or the week after, you guys can see and learn a little bit about this charity that we support and talk about every week."
MATT,00:04:14,00:04:50,"Yep, we'll have a cool video up. It'll show you guys our whole experience at 826LA delivering and talking to them about everything, so that'll be fun! Other announcements: This is one of the gifts that we're actually talking about at the start of the stream because we want to utilize it through it. A fantastic gentleman by the name of Jim Donnis sent us custom Vox Machina etched glasses. Customized character glass icons. I have my Dungeon Master glass here. So that's really awesome. And also sent us some really, really nice, quality, expensive dranky-drank."
TRAVIS,00:04:50,00:04:52,"Yeah, it's legit."
