speaker,start_time,end_time,text
MATT,00:00:00,00:00:39,"Hello, ladies and gentlemen, and welcome to this evening's episode of Critical Role, where a bunch of us nerdy voice actors sit around a table and play Dungeons & Dragons. If you are returning, welcome back. For those who it's their first time watching us live on the stream, welcome to the chaos. So, before I begin, a couple of quick notifications I want to give you guys. We had our first subscriber giveaway hit before the show started at 4,200. It was LL1973. Turn the mic around. Oh, now you can hear me. Look at this! The magic of live. Live communication. You have a wonderful view of this fantastic midsection. It's delightful. There we go. Is that better?"
ZAC,00:00:39,00:00:40,Yep.
MATT,00:00:40,00:01:15,"Velcome. So, welcome to Critical Role, for those who didn't hear me before. D&D, voice actors, you know the drill now. So our first giveaway already happened tonight for the subscriber count at 4,200 to LL1973. Congratulations. You're going to be winning a signed Player's Handbook of Dungeons & Dragons Fifth Edition, as well as a signed photo of the Critical Role cast. Our next one will be at 4,250, so, up to every fifty subscribers after that we will be giving away an additional Player's Handbook and photo signed by the cast. Awesome times. (cheering)"
MARISHA,00:01:15,00:01:16,Awesome times?
MATT,00:01:16,00:01:17,"Indeed, very awesome times."
MARISHA,00:01:17,00:01:18,"Good times, good time together."
MATT,00:01:18,00:01:26,"I think so, indeed. Also, as a heads-up to you guys, there will be no Critical Role next week because the San Diego Comic-Con is happening. Down in San Diego."
MARISHA,00:01:26,00:01:27,"We're doing a panel, aren't we?"
MATT,00:01:27,00:01:38,"I know, we have a panel, though. We have a panel Thursday, I'll be on the main Geek and Sundry panel with Laura at 1-2 and then we have our actual full Critical Role panel from 4-5. So if you are going to be there, come see us at PetCo Park on Thursday."
LAURA,00:01:38,00:01:39,You don't need a badge.
MATT,00:01:39,00:01:42,"Nope, you can just come and walk on in."
MARISHA,00:01:42,00:01:48,"Yeah, it is at PetCo Park, so don't get lost looking around the convention center. Because it won't be there. It's at PetCo Park."
MATT,00:01:48,00:02:54,"It's the big sports stadium, which to me is a wonderful irony of us giving a panel about Dungeons & Dragons in the center of a giant sports stadium. That's right! Indoor kids. However, however, they are also filming the panel for those who can't be there. The panel will be on the stream the following day, I believe, so check it out there, after, with the rest of the Comic-Con stream coverage. It'll be fun. Yeah, so that'll be good. The week after that, me and Marisha are going to be out of town in New Zealand, so this means a two-week period without Critical Role main-story stuff, and I apologize, this is all stuff that got planned before the stream even started. We'll be at a convention in New Zealand. For those out there planning to come to Armageddon, please come see us, we'll be down there. It'll be fun for all New Zealand fans. Otherwise, the rest of the Critical Role cast that are available will be here and will play some other sort of game together and generally interact with the chat and have a good time until we return. So."
MARISHA,00:02:54,00:02:56,We're working it out.
MATT,00:02:56,00:02:58,"Yeah, we're getting the circumstance ironed out."
"MARISHA, ORION",00:02:58,00:03:01,"Hi, Liam!"
MATT,00:03:01,00:03:03,We have Liam on Skype over here.
LIAM,00:03:03,00:03:04,"Hi, guys."
MATT,00:03:04,00:03:05,"What's up, buddy?"
LIAM,00:03:05,00:03:06,Hi!
MATT,00:03:06,00:03:12,"Liam, who's finishing up his vacation as well. As far as I understand, we have a--"
MARISHA,00:03:12,00:03:14,How's New Jersey?
LIAM,00:03:14,00:03:19,I am deep in upstate New York on the Canadian border.
MATT,00:03:19,00:03:27,Slowly migrating into expatriotism. Don't go Canadian on us.
LIAM,00:03:27,00:03:30,It's frightening to drive here at night. I can't wait to do it at two in the morning.
LAURA,00:03:30,00:03:31,Yay.
MATT,00:03:31,00:03:32,Yes.
ASHLEY,00:03:32,00:03:33,I'm drinking out of your mug.
MATT,00:03:33,00:03:34,She is.
LIAM,00:03:34,00:03:37,My mug? Here's mine.
MATT,00:03:37,00:03:39,"On river time, there you go."
MARISHA,00:03:39,00:03:41,"On river time, what?"
MATT,00:03:41,00:03:43,That is-- that's a mug.
MARISHA,00:03:43,00:03:48,Did you instantly turn into a 64-year-old golfer as soon as you went there?
LIAM,00:03:48,00:03:51,I'm on a river. I'm on a river.
LAURA,00:03:51,00:03:53,I'm on a boat. I'm on a boat.
MATT,00:03:53,00:05:29,"So that's going on. Other things we want to mention. We'll have a special presentation at the break today. We're taking a break from the 826LA charity for another special charity that has been running for the past week known as GameChanger: it's a cancer charity and it's been working in conjunction with SquareEnix this past week. To raise money for cancer research, they've been doing-- if you donate $1 to it they're giving away codes for the first Deus Ex game for PC and a lot of other fun stuff. We'll have more information and a presentation for you at the break. So be aware that's the fun charity we're promoting tonight, so if anyone has the ability to give, please do, they're an awesome charity. We're also waiting on Sam Riegel and Taliesin Jaffe, they're both fighting traffic but will be here shortly. However, let's go ahead and cut to the intro to give us a one-minute break, and then we'll jump right into this crazy, crazy episode. So see you in just a moment. [no audio] Well, while we get that figured out--"
