speaker,start_time,end_time,text
MATT,00:00:00,00:01:10,"Hey, everyone. Sorry about that little issue there. But thank you for your patience. I appreciate that. Going back over what had transpired previously. So the party was hired to go into Kraghammer seeking Lady Kima of Vord, who is a renowned folk hero, a halfling paladin of much renown, following Bahamut, the Platinum Dragon of justice and good, who went on a vision quest, apparently seeing some sort of evil brewing beneath Kraghammer, and went on her own to seek it and destroy it. Hasn't been seen for many weeks-- months, even -- since. And so the party has then gone into Kraghammer to attempt to locate her. After some conversing, some brawling, some interesting circumstances, they found information that she disappeared into the Mithril mines just underneath the lower circle of Kraghammer. They've since battled a few creatures, apparently these strange monstrosities are coming out of the mines recently. And they've had dwarven miners being taken and disappearing. They charged into the mines, found one of the series of tunnels that had broken into the mines from some other source, encountered a few umber hulks, were ambushed by some duergar, which are subterranean, dark, ashen grey--"
TRAVIS,00:01:10,00:01:11,Dickholes.
MATT,00:01:11,00:01:19,"-- messed-up dwarves and an intellect devourer, which proceeded to blast Grog, reduce his intelligence to zero, and leave him catatonic and brain-dead."
TRAVIS,00:01:19,00:01:20,(laughs)
MATT,00:01:20,00:01:26,"And that's where we left off. But we'll pick up that in a second. Let's go ahead and continue our introductions. We had Taliesin, now we have Marisha--"
MARISHA,00:01:26,00:01:36,"Yes! Hello, I am Marisha Ray, and I am Keyleth of the Air Ashari tribe. And I am the Circle of the Moon druid. Level nine."
MATT,00:01:36,00:01:36,Mm-hm.
TRAVIS,00:01:36,00:01:37,Wow.
MATT,00:01:37,00:01:40,Orion?
ORION,00:01:40,00:01:51,"Hi! I am Orion Acaba. And I play Tiberius Stormwind, the dragonborn sorcerer. Level nine. Super badass."
TRAVIS,00:01:51,00:01:53,Scaly.
SAM,00:01:53,00:02:04,"Oh hi, I am Sam Riegel. I play Scanlan Shorthalt, the level nine bard gnome, who is the handsomest and most charming of the group. (all laugh)"
TRAVIS,00:02:04,00:02:06,Scanlan Shorthalt.
SAM,00:02:06,00:02:07,Scanlan Shorthalt.
MATT,00:02:07,00:02:08,Yeah. Esquire.
LAURA,00:02:08,00:02:10,The third.
MATT,00:02:10,00:02:11,"Yes, the third."
LAURA,00:02:11,00:02:14,"Hi! Oh, my brother is extra, extra stealth right now."
