speaker,start_time,end_time,text
MATT,00:00:00,00:01:36,"Good evening, everyone! And welcome to our eleventh episode of Critical Role. I think our story is definitely brewing towards a coming conclusion, whether this week or some point soon. We'll see how the story pans out. Nevertheless, the excitement's definitely growing for Vox Machina. We're currently waiting for a couple of the party members to arrive here. But they'll be here very shortly. But in the meantime, let's go ahead and jump to our intro, and we'll come back and have a few announcements before we hop into this week's episode and see where the story goes. See you in just a minute. [dramatic music]"
MATT,00:01:36,00:01:43,"Hello everyone! Welcome back! (laughs) Today's been a chaotic, end-of-the-week bit of insanity."
ZAC,00:01:43,00:01:45,They can't see everyone running to get the donuts.
MATT,00:01:45,00:01:50,"Yeah, they can't see you guys running to get your donuts, so it's fine. Our party was just scattering to the four winds."
MARISHA,00:01:50,00:01:51,"Oh, is the visual still on Matt?"
MATT,00:01:51,00:01:53,"It's on me. It's fine, guys."
MARISHA,00:01:53,00:01:54,"Aww, damn it!"
MATT,00:01:54,00:02:10,"That's all right. So, anyway, guys. Welcome back. We have a few announcements. First off, thank you once again, chat, for giving me this awesome, awesome DM's cloak. We'll see at which point in the evening it becomes perfunctory. Also, apparently we had a load of other gifts that arrived."
ZAC,00:02:10,00:02:25,"Yeah, yeah. Let's come over to this, so-- The chatroom knew you guys had a big battle today, possibly. So they wanted to help you guys out. So, Marisha. (cheering)"
MATT,00:02:25,00:02:26,That's great!
MARISHA,00:02:26,00:02:27,Yes!
ZAC,00:02:27,00:02:29,"And this is for you, Ashley."
ASHLEY,00:02:29,00:02:32,What? A mace? Yes!
ZAC,00:02:32,00:02:40,"I'm not sure who the elf ears are for, that's probably one of you guys. Actually, you know what? I think these are for-- We have the bear, Trinket, and the ears."
LAURA,00:02:40,00:02:43,"Oh, goodness gracious!"
MARISHA,00:02:43,00:02:44,You got a Trinket?
ZAC,00:02:44,00:02:46,I'll let you open that--
LAURA,00:02:46,00:02:49,"Oh my god you guys, he's a puppet!"
MARISHA,00:02:49,00:02:52,Oh my god! Shut. Up.
ZAC,00:02:52,00:02:54,I'm not sure what that's for--
MATT,00:02:54,00:03:06,"This has to be for the dragonborn. I think, Orion, that this is a skull of a dragonborn. To put your material components in. Open it up."
ORION,00:03:06,00:03:08,Oh shit!
