speaker,start_time,end_time,text
MATT,00:00:00,00:01:27,"Hello, and welcome this evening to Critical Role, everyone. A show where a bunch of us nerdy-ass voice actors play Dungeons and Dragons and have a good time. Guess we can go ahead and-- we forgot to do the format this time and start with the intro. We trying to do that going forward because it makes more sense. But for now, let's go ahead and jump to the intro and we'll be right back to describe what we have going on. [dramatic music]"
MATT,00:01:27,00:02:29,"Welcome back. So first and foremost, we got a couple quick announcements to get into for this week. For every 100 subs we get to the channel this evening we'll be doing giveaways. The giveaways this week will include a signed photo of the cast of Critical Role, as well as, for the first time offering, a large print poster of one of the classic moments within our campaign drawn by our illustrious Kit Buss, our official artist for Critical Role. I think Zac should be showing you that photo that we'll be giving away, a really nice, high-quality print of that signed by the cast. And we'll send that out to whoever wins the wonderful prize for the chat room. I think we're 50 away from our first giveaway. So, you got to get that climbing so we can give that out shortly. Also, as we've previously, the past two weeks, had some great guests joining our first half of the Vox Machina group on their adventure, this week we have two new guests joining us for this and next week. If I can have a big, warm welcome to our players this week: Wil Wheaton and Will Friedle. Thank you guys so much for joining us. Excited to have you."
MARISHA,00:02:29,00:02:30,So awesome.
WILL,00:02:30,00:02:31,Slightly nervous.
WIL,00:02:31,00:02:51,"You're going to be great, don't worry about it. I want to apologize in advance to Liam for having to share a table with me. I'm sorry for what's going to happen to your dice on account of how close we are to each other. I hope you're not too attached to anything with your character at all. (laughter)"
WIL,00:02:51,00:02:56,"I know. I'm just telling you, if there's dice you really love, you might want to put them away."
LIAM,00:02:56,00:02:59,I'll just kiester this one.
MATT,00:02:59,00:03:35,"That's the most comfortable way to do that. Well, awesome guys. Thank you so much for joining us in this. Before we jump in, let's see if we have any announcements that anyone wants to make, anything coming up, anything you want to talk about. I'll start. I'll say that as of flying out this evening, I should say, I have a flight at 12:15 from LAX. I'll be flying out to Columbus, Ohio for Matsuricon this weekend. So, any of you guys out there in the Ohio area want to come and visit me for the weekend, I'll be doing signings, panels, and general hanging out with fans and stuff. So if you're in the vicinity, come say hi. That's my announcement. Anyone else have anything they want to mention?"
ORION,00:03:35,00:03:47,"Yeah. I recently started my own Twitch stream. So you can follow me and watch. I play a lot of video games, guys. It's horrible addiction that's amazing. But it's @orionacaba on Twitch."
MATT,00:03:47,00:03:50,"You keep streaming Thursdays at 7:00, which I think is really counterproductive."
ORION,00:03:50,00:03:52,It's weird.
WIL,00:03:52,00:03:57,"When you've mastered being in two places at once, it's silly not to take advantage of it."
ORION,00:03:57,00:04:04,I am actually hosting Geek and Sundry on my channel right now.
MATT,00:04:04,00:04:05,"Oh, look at you."
LIAM,00:04:05,00:04:08,Are you simultaneously brewing at home right now?
WIL,00:04:08,00:04:12,I am. And I am also running this game in an alternate universe.
LIAM,00:04:12,00:04:14,Oh. Wow.
WIL,00:04:14,00:04:38,It's pretty great. Yeah. And Matt rolls so bad in that game. It's really great. I am having dinner with my wife tomorrow so I'm looking forward to that. We're probably going to put a whole chicken in the smoker in the afternoon and then I think we're going to play some games. I'm introducing her to a game that I got at Gen Con called Lanterns.
MARISHA,00:04:38,00:04:39,Lanterns?
WIL,00:04:39,00:04:42,"Yeah, really fun Dom Lux game. Really like it a lot."
MARISHA,00:04:42,00:04:43,We'll have to check that out.
WILL,00:04:43,00:04:48,"I, after four lovely years, popped the question last week."
MATT,00:04:48,00:04:49,"Yes, you did."
WILL,00:04:49,00:04:53,And I am engaged to be married. Yes. (cheering)
