speaker,start_time,end_time,text
MATT,00:00:00,00:00:42,"Good evening, everyone, and welcome to tonight's episode of Critical Role, where a bunch of nerdy-ass voice actors sit around and play Dungeons and Dragons. My name is Matthew Mercer. I am the dungeon master for the show, and we're excited to have you. A couple of cool things about this, for those who are checking in or aren't aware of what's going on: our main party, Vox Machina, has been split for two different trials. We'll get into that story in a little bit, but because of that, we have some guests playing. This will be the second week of our two fantastic guests, Wil Wheaton and Will Friedle. We're excited about them. They're pretty nice. This is the second week of the Wills; we're excited to have them. Also, do we have any other announcements anyone wants to talk about? Anything crazy coming up?"
MARISHA,00:00:42,00:01:02,"Speaking of the Wills, just to talk about the first two giveaways that we reached. That's it. Once it hits the board, it's done. It's like the American flag. These are TableTop nail wrap-specific."
WIL,00:01:02,00:01:06,"Oh yeah, these are from our friends at Espionage Cosmetics."
MARISHA,00:01:06,00:01:11,"Yes, these are Espionage Cosmetics nail wraps, and they're actual TableTop--"
WIL,00:01:11,00:01:19,"Yeah, they're official licensed TableTop merchandise that we made happen. I'm very happy."
MARISHA,00:01:19,00:01:22,So yes. Wear the support on your fingertips.
WIL,00:01:22,00:01:39,"I have two announcements. Announcement the first: for the next four hours and 56 minutes, Pacific Time, I am the King of the Internet because I won yesterday on @Midnight."
MATT,00:01:39,00:01:42,Congratulations!
WIL,00:01:42,00:02:01,"Also, Hardwick hipped me to this movie that I want everybody to see, so I'm telling everyone I know about it, and I won't shut up about it. It's called What We Do in the Shadows. It is a comedy that is a documentary about a group of vampires who live together in a house in Wellington, New Zealand."
MATT,00:02:01,00:02:03,"Oh wait, is this the one that has Jemaine Clement in it?"
WIL,00:02:03,00:02:03,Yeah.
MATT,00:02:03,00:02:05,"Yeah, I've heard of this."
WIL,00:02:05,00:02:26,"It is one of the most amazing, hilarious, pitch-perfect, well-done genre comedy and horror films I have ever seen. It is a delight, and I want everyone to watch it because I'm afraid it's not going to get the attention it deserves."
WILL,00:02:26,00:02:29,This is a new movie? This isn't something from years ago?
WIL,00:02:29,00:02:30,"From this year, yeah."
MATT,00:02:30,00:02:33,"This episode sponsored by What We Do-- no, I'm kidding."
ORION,00:02:33,00:02:45,"Tomorrow, Friday, on Gather Your Party, I had a thumbtack comedy buddy, Alex Lewis, and Keith Habersberger--"
MATT,00:02:45,00:02:48,That's not a real name.
ORION,00:02:48,00:03:04,"I know. From Buzzfeed. Together, they are Lewberger, and they're going to be playing here, and I'm going to be doing some songs with them and performing with them, as well. Check it out for Gather Your Party tomorrow. What time is that, sorry Zac?"
ZAC,00:03:04,00:03:04,7:00PM.
ORION,00:03:04,00:03:06,7:00PM.
MATT,00:03:06,00:03:08,Tomorrow. Wondrous.
LIAM,00:03:08,00:03:11,I would like to announce that I am nervous as shit.
MATT,00:03:11,00:03:13,Why? I can't imagine why you would be.
WIL,00:03:13,00:03:19,Is it because you're sitting so close to me that you're worried that you're not going to roll anything well tonight?
LIAM,00:03:19,00:03:21,No. I should feel comfortable that you're going to soak it all up.
WIL,00:03:21,00:03:26,"Look, you're the regular. I'm the guest star. I can die, and it's fine."
WILL,00:03:26,00:03:28,It's not fine.
WIL,00:03:28,00:03:35,"It doesn't matter. No, it'll be dramatic and great. I plan to sacrifice my life for someone in this group who deserves it."
ZAC,00:03:35,00:03:36,Spoilers!
MARISHA,00:03:36,00:03:39,"Hopefully you don't fail at that, too."
ALL,00:03:39,00:03:41,Oh!
WIL,00:03:41,00:03:43,Not for you!
WILL,00:03:43,00:03:44,Wow.
WIL,00:03:44,00:03:46,"Not for you. No, not for you!"
WILL,00:03:46,00:03:50,It's a hug-worthy moment. This is a good day.
MARISHA,00:03:50,00:03:54,"Only because of the dice, not because of your choices."
WIL,00:03:54,00:03:56,Too late!
LIAM,00:03:56,00:04:01,"Come on, guys. Just like we did in rehearsals. (laughter)"
MARISHA,00:04:01,00:04:46,"So 826LA, our charity. Everyone should go check them out; they have amazing storefronts in cities all across the country. The one here is themed after time travel in Echo Park. And also in Marina Del Rey; that's the other city that I'm trying to think of. But yes, a portion of all of our donations go to them, and they're amazing, so thank you so much. And thank you for everyone who has donated in the past. We love you. And I think we are going to be doing a video. I know I've been saying that for a while, but we have a date scheduled now! It is happening. We have a way for everyone to get back in town, but it's going to happen, and we're going to have a field trip."
MATT,00:04:46,00:05:20,"Yeah, to 826 and deliver all your wonderful donations. Last announcement I have to make. Let's see. The wonderful folks at Midnight Syndicate-- for those who don't know who they are, they make fantastic music and soundtrack tracks. They've done an official DND soundtrack years ago, and they've done stuff for World of Darkness and Call of Cthulhu. They do great atmospheric music. They finally got back to me, and they gave me permission to use their songs on this feed, so my playlist expands even further. They're really cool guys."
MARISHA,00:05:20,00:05:22,How long ago did you send that e-mail?
MATT,00:05:22,00:05:33,"That was a while back. It was before we started the stream. But they responded, and they've been really cool about it, and if you're looking for your own soundtrack stuff to work on, they have a great array of stuff. I highly recommend checking out Midnight Syndicate."
WILL,00:05:33,00:05:35,"Are you still trying to get Queen, too?"
MATT,00:05:35,00:05:37,"I'm trying, but Freddie hasn't returned my e-mails."
WIL,00:05:37,00:05:49,"Hey, guys? This is weird. He's not going to return your emails. No. He's not a fan."
LIAM,00:05:49,00:05:51,He's more into Shadowrun.
WIL,00:05:51,00:05:54,He's really a Shadowrun guy.
MATT,00:05:54,00:05:55,"That's okay, Shadowrun's cool."
WIL,00:05:55,00:05:57,Very much a Shadowrun guy.
ORION,00:05:57,00:05:58,I played that on Genesis.
LIAM,00:05:58,00:06:05,We need to build bleachers back here. We've got this thing.
MATT,00:06:05,00:06:07,We lost Wheaton.
WILL,00:06:07,00:06:09,"All right, so now we got a shot!"
LIAM,00:06:09,00:06:23,"Well, step into camera if you're going to make such a big to-do. Come in and say hi, and then get out. You already pulled Wil out of the picture."
MATT,00:06:23,00:06:27,"Thorbir died really fast tonight. Yay, we got a Laura!"
WIL,00:06:27,00:06:33,"And by the way, unlike Thorbir, I did not trip over anything or fall down trying to go down one step."
MATT,00:06:33,00:06:35,That's true.
WIL,00:06:35,00:06:40,Just so we don't mistake the actor for the character.
MATT,00:06:40,00:06:51,"Indeed. There's a distinction. It is a creative character. No buckets were harmed in the announcement here. All right, so. I think if we're all ready, let's go ahead--"
WIL,00:06:51,00:06:52,"Oh, I don't have a pencil."
MATT,00:06:52,00:06:54,You don't have a pencil? I'm going to throw a pencil at you.
WIL,00:06:54,00:06:56,"Throw a pencil at me, dungeon master!"
MATT,00:06:56,00:07:00,"I mean, gingerly hand it to our fantastic overlord, who will deliver it."
MARISHA,00:07:00,00:07:02,"Oh, are we going into our intro?"
MATT,00:07:02,00:08:14,"Yeah, so let's go ahead and get ready to play ourselves some Critical Role. [dramatic music]"
