segment,frame_id,timestamp,speaker,emotion,scores
episode113_000.mp4,0,0:00:00,matt,surprise,"[0.08554455637931824, 0.0124961007386446, 0.16890482604503632, 0.01119929552078247, 0.2322913408279419, 0.4045681953430176, 0.08499571681022644]"
episode113_000.mp4,30,0:00:01,matt,angry,"[0.10330379754304886, 0.008582590147852898, 0.6442952156066895, 0.012213687412440777, 0.0777568519115448, 0.11317067593336105, 0.04067712277173996]"
episode113_000.mp4,60,0:00:02,matt,angry,"[0.25369614362716675, 0.00570714520290494, 0.3478701114654541, 0.09577809274196625, 0.07869689911603928, 0.022607969120144844, 0.19564366340637207]"
episode113_000.mp4,90,0:00:03,matt,angry,"[0.2983154356479645, 0.008814792148768902, 0.45331478118896484, 0.02342080883681774, 0.12502406537532806, 0.039285726845264435, 0.051824409514665604]"
episode113_000.mp4,120,0:00:04,matt,happy,"[0.028481535613536835, 0.004897148348391056, 0.06597442179918289, 0.029151130467653275, 0.021917833015322685, 0.058031223714351654, 0.791546642780304]"
episode113_000.mp4,150,0:00:05,matt,angry,"[0.15668803453445435, 0.013051762245595455, 0.6814270615577698, 0.012800967320799828, 0.03673575073480606, 0.0603938065469265, 0.03890272602438927]"
episode113_000.mp4,180,0:00:06,matt,angry,"[0.15812315046787262, 0.01370321772992611, 0.6279822587966919, 0.011250782757997513, 0.037487540394067764, 0.06589190661907196, 0.0855611190199852]"
episode113_000.mp4,210,0:00:07,matt,happy,"[0.0062706866301596165, 0.002920742379501462, 0.011124437674880028, 0.009610909968614578, 0.004631550516933203, 0.013882155530154705, 0.9515594840049744]"
episode113_000.mp4,240,0:00:08,matt,happy,"[0.0054775564931333065, 0.004937727004289627, 0.012050498276948929, 0.006522877141833305, 0.004217673558741808, 0.023629670962691307, 0.9431639909744263]"
episode113_000.mp4,270,0:00:09,matt,angry,"[0.06020503118634224, 0.010028408840298653, 0.43013614416122437, 0.01851332001388073, 0.17502835392951965, 0.2256893813610077, 0.08039940893650055]"
episode113_000.mp4,300,0:00:10,matt,sad,"[0.7966399192810059, 0.007946268655359745, 0.04908221587538719, 0.03601336106657982, 0.04662592336535454, 0.019920717924833298, 0.043771665543317795]"
