segment,frame_id,timestamp,speaker,emotion,scores
episode119_000.mp4,0,0:00:00,matt,angry,"[0.072910375893116, 0.014864900149405003, 0.37039265036582947, 0.15211521089076996, 0.11161836236715317, 0.07926461845636368, 0.19883400201797485]"
episode119_000.mp4,30,0:00:01,matt,angry,"[0.09506373107433319, 0.006245405878871679, 0.8142691254615784, 0.020761454477906227, 0.02360101230442524, 0.01995743066072464, 0.020101767033338547]"
episode119_000.mp4,60,0:00:02,matt,angry,"[0.09911180287599564, 0.004028842784464359, 0.7520459294319153, 0.05635915324091911, 0.031052278354763985, 0.01750274933874607, 0.0398993194103241]"
episode119_000.mp4,90,0:00:03,matt,happy,"[0.07273472845554352, 0.007860569283366203, 0.3008389472961426, 0.19791635870933533, 0.06207653880119324, 0.0481451191008091, 0.310427725315094]"
episode119_000.mp4,120,0:00:04,matt,happy,"[0.025521064177155495, 0.008090379647910595, 0.10467243194580078, 0.029272612184286118, 0.020909328013658524, 0.0375097319483757, 0.774024486541748]"
episode119_000.mp4,150,0:00:05,matt,angry,"[0.06317593157291412, 0.007042397744953632, 0.8556615710258484, 0.00719866156578064, 0.02578294463455677, 0.023845115676522255, 0.017293358221650124]"
episode119_000.mp4,180,0:00:06,travis,angry,"[0.30175504088401794, 0.010903453454375267, 0.5829023122787476, 0.0103384330868721, 0.06132114306092262, 0.012165311723947525, 0.020614314824342728]"
episode119_000.mp4,180,0:00:06,laura,fear,"[0.09101410955190659, 0.010579624213278294, 0.04941412806510925, 0.02332661673426628, 0.7870910167694092, 0.024447914212942123, 0.014126690104603767]"
episode119_000.mp4,180,0:00:06,liam,happy,"[0.04193941876292229, 0.02168320305645466, 0.2892574369907379, 0.047857049852609634, 0.09914572536945343, 0.08781445026397705, 0.41230276226997375]"
episode119_000.mp4,210,0:00:07,travis,fear,"[0.3362472653388977, 0.016370730474591255, 0.20863860845565796, 0.016627460718154907, 0.3668394982814789, 0.03747324272990227, 0.017803184688091278]"
episode119_000.mp4,210,0:00:07,laura,fear,"[0.05746937915682793, 0.011506342329084873, 0.023991497233510017, 0.00961464736610651, 0.7363550066947937, 0.13285423815250397, 0.028208816424012184]"
episode119_000.mp4,210,0:00:07,liam,angry,"[0.04816184937953949, 0.03600989282131195, 0.3888309895992279, 0.07011716812849045, 0.07945007085800171, 0.062038324773311615, 0.3153916597366333]"
episode119_000.mp4,240,0:00:08,sam,angry,"[0.04376572370529175, 0.007382294628769159, 0.32873666286468506, 0.2339552640914917, 0.03109368123114109, 0.03329259157180786, 0.3217737674713135]"
episode119_000.mp4,240,0:00:08,marisha,happy,"[0.008680833503603935, 0.0042492360807955265, 0.004513730760663748, 0.016724104061722755, 0.004972685594111681, 0.01789281889796257, 0.9429666996002197]"
episode119_000.mp4,240,0:00:08,taliesin,angry,"[0.08631081134080887, 0.015224985778331757, 0.4343909025192261, 0.00955122895538807, 0.18939641118049622, 0.1255459189414978, 0.13957975804805756]"
episode119_000.mp4,240,0:00:08,ashley,happy,"[0.002901847008615732, 0.003110930323600769, 0.0016837894218042493, 0.0033493353985249996, 0.0034410960506647825, 0.010615228675305843, 0.9748977422714233]"
episode119_000.mp4,270,0:00:09,marisha,sad,"[0.5428181886672974, 0.007834577932953835, 0.01935926452279091, 0.09078029543161392, 0.10788600146770477, 0.014229939319193363, 0.21709173917770386]"
episode119_000.mp4,270,0:00:09,ashley,happy,"[0.002775858622044325, 0.003127596341073513, 0.0019207668956369162, 0.00409179599955678, 0.0032144496217370033, 0.009125804528594017, 0.9757437109947205]"
episode119_000.mp4,270,0:00:09,taliesin,angry,"[0.2037413865327835, 0.008429658599197865, 0.37908944487571716, 0.03857800364494324, 0.22101052105426788, 0.0392947793006897, 0.10985618829727173]"
episode119_000.mp4,300,0:00:10,matt,angry,"[0.2530902028083801, 0.009709666483104229, 0.42015519738197327, 0.020933862775564194, 0.06568247079849243, 0.0753728449344635, 0.15505573153495789]"
episode119_000.mp4,330,0:00:11,matt,happy,"[0.03400174528360367, 0.010272686369717121, 0.19831006228923798, 0.02087891474366188, 0.02777368761599064, 0.07824914157390594, 0.6305137276649475]"
episode119_000.mp4,360,0:00:12,matt,happy,"[0.060597218573093414, 0.0039460682310163975, 0.03186981752514839, 0.06878296285867691, 0.009869721718132496, 0.010388124734163284, 0.8145460486412048]"
episode119_000.mp4,390,0:00:13,matt,happy,"[0.010162096470594406, 0.003555262926965952, 0.016628282144665718, 0.014521638862788677, 0.005215984769165516, 0.010615887120366096, 0.9393008947372437]"
episode119_000.mp4,420,0:00:14,matt,happy,"[0.02329087443649769, 0.006536622066050768, 0.1232915073633194, 0.04967983067035675, 0.021875688806176186, 0.03407546132802963, 0.7412500381469727]"
episode119_000.mp4,450,0:00:15,matt,angry,"[0.0564611479640007, 0.006068690214306116, 0.7772693037986755, 0.04486045986413956, 0.028198136016726494, 0.021136227995157242, 0.06600603461265564]"
episode119_000.mp4,480,0:00:16,matt,happy,"[0.21999667584896088, 0.00548563664779067, 0.06871854513883591, 0.14388731122016907, 0.023806771263480186, 0.011203128844499588, 0.5269019603729248]"
episode119_000.mp4,510,0:00:17,matt,angry,"[0.07879967987537384, 0.006436498370021582, 0.7348766922950745, 0.032422859221696854, 0.038809094578027725, 0.027956506237387657, 0.0806986391544342]"
episode119_000.mp4,540,0:00:18,matt,happy,"[0.12005127221345901, 0.013318285346031189, 0.21872815489768982, 0.12617984414100647, 0.11368680000305176, 0.07488346844911575, 0.333152174949646]"
episode119_000.mp4,570,0:00:19,matt,happy,"[0.0329902358353138, 0.008131290785968304, 0.11964233964681625, 0.051582690328359604, 0.03631002455949783, 0.14533750712871552, 0.6060059070587158]"
episode119_000.mp4,600,0:00:20,matt,sad,"[0.9514610767364502, 0.0037006051279604435, 0.010924192145466805, 0.00791599415242672, 0.015530810691416264, 0.0032235756516456604, 0.007243802305310965]"
