speaker,start_time,end_time,reason
TRAVIS,00:00:05,00:00:05,invalid_range
LAURA,00:01:03,00:01:03,invalid_range
TRAVIS,00:01:11,00:01:11,invalid_range
LAURA,00:02:33,00:02:33,invalid_range
"ASHLEY, MARISHA",00:02:54,00:02:54,invalid_range
MATT,00:03:14,00:03:14,invalid_range
TRAVIS,00:03:21,00:03:21,invalid_range
SAM,00:04:09,00:04:09,invalid_range
LAURA,00:04:47,00:04:47,invalid_range
SAM,00:04:52,00:04:52,invalid_range
SAM,00:05:00,00:05:00,invalid_range
MATT,00:05:04,00:05:04,invalid_range
MATT,00:05:06,00:05:06,invalid_range
TRAVIS,00:05:13,00:05:13,invalid_range
MATT,00:10:42,00:10:42,invalid_range
LAURA,00:13:17,00:13:17,invalid_range
LAURA,00:13:27,00:13:27,invalid_range
LIAM,00:13:50,00:13:50,invalid_range
SAM,00:16:39,00:16:39,invalid_range
SAM,00:16:54,00:16:54,invalid_range
MATT,00:18:23,00:18:23,invalid_range
SAM,00:18:33,00:18:33,invalid_range
SAM,00:18:39,00:18:39,invalid_range
LAURA,00:18:45,00:18:45,invalid_range
MATT,00:18:56,00:18:56,invalid_range
SAM,00:19:30,00:19:30,invalid_range
MARISHA,00:19:31,00:19:31,invalid_range
TRAVIS,00:20:12,00:20:12,invalid_range
LIAM,00:20:58,00:20:58,invalid_range
MARISHA,00:23:48,00:23:48,invalid_range
TALIESIN,00:24:25,00:24:25,invalid_range
LIAM,00:24:28,00:24:28,invalid_range
MARISHA,00:24:40,00:24:40,invalid_range
LIAM,00:25:28,00:25:28,invalid_range
LAURA,00:25:57,00:25:57,invalid_range
LAURA,00:26:03,00:26:03,invalid_range
TALIESIN,00:26:08,00:26:08,invalid_range
MARISHA,00:26:22,00:26:22,invalid_range
LAURA,00:28:41,00:28:41,invalid_range
TALIESIN,00:28:57,00:28:57,invalid_range
LAURA,00:29:11,00:29:11,invalid_range
MATT,00:29:37,00:29:37,invalid_range
TRAVIS,00:30:01,00:30:01,invalid_range
LIAM,00:30:15,00:30:15,invalid_range
ASHLEY,00:30:57,00:30:57,invalid_range
LIAM,00:31:05,00:31:05,invalid_range
SAM,00:31:26,00:31:26,invalid_range
ASHLEY,00:31:30,00:31:30,invalid_range
SAM,00:34:47,00:34:47,invalid_range
LAURA,00:35:08,00:35:08,invalid_range
SAM,00:35:14,00:35:14,invalid_range
MARISHA,00:35:37,00:35:37,invalid_range
MARISHA,00:35:47,00:35:47,invalid_range
MARISHA,00:35:57,00:35:57,invalid_range
MARISHA,00:35:59,00:35:59,invalid_range
LIAM,00:36:15,00:36:15,invalid_range
LAURA,00:39:12,00:39:12,invalid_range
MARISHA,00:39:29,00:39:29,invalid_range
TALIESIN,00:39:31,00:39:31,invalid_range
MARISHA,00:39:45,00:39:45,invalid_range
LAURA,00:39:49,00:39:49,invalid_range
LAURA,00:40:18,00:40:18,invalid_range
LAURA,00:43:20,00:43:20,invalid_range
MATT,00:43:24,00:43:24,invalid_range
MATT,00:46:55,00:46:55,invalid_range
LAURA,00:47:35,00:47:35,invalid_range
LAURA,00:47:41,00:47:41,invalid_range
LAURA,00:48:51,00:48:51,invalid_range
LIAM,00:49:28,00:49:28,invalid_range
TALIESIN,00:49:40,00:49:40,invalid_range
LAURA,00:49:42,00:49:42,invalid_range
LIAM,00:50:13,00:50:13,invalid_range
LAURA,00:50:28,00:50:28,invalid_range
MARISHA,00:50:29,00:50:29,invalid_range
ASHLEY,00:51:48,00:51:48,invalid_range
MATT,00:52:30,00:52:30,invalid_range
TRAVIS,00:54:22,00:54:22,invalid_range
MATT,00:55:33,00:55:33,invalid_range
TRAVIS,00:57:14,00:57:14,invalid_range
LAURA,00:57:24,00:57:24,invalid_range
TRAVIS,00:57:59,00:57:59,invalid_range
TRAVIS,00:59:20,00:59:20,invalid_range
LAURA,01:01:19,01:01:19,invalid_range
ASHLEY,01:01:52,01:01:52,invalid_range
MATT,01:01:57,01:01:57,invalid_range
LIAM,01:01:59,01:01:59,invalid_range
SAM,01:02:05,01:02:05,invalid_range
LAURA,01:03:36,01:03:36,invalid_range
TRAVIS,01:04:01,01:04:01,invalid_range
SAM,01:04:29,01:04:29,invalid_range
TRAVIS,01:04:47,01:04:47,invalid_range
LIAM,01:04:49,01:04:49,invalid_range
TALIESIN,01:05:30,01:05:30,invalid_range
SAM,01:06:22,01:06:22,invalid_range
MARISHA,01:07:17,01:07:17,invalid_range
LIAM,01:08:00,01:08:00,invalid_range
TALIESIN,01:08:02,01:08:02,invalid_range
LIAM,01:08:11,01:08:11,invalid_range
LAURA,01:08:54,01:08:54,invalid_range
TALIESIN,01:10:09,01:10:09,invalid_range
TALIESIN,01:10:14,01:10:14,invalid_range
TALIESIN,01:11:17,01:11:17,invalid_range
MARISHA,01:11:56,01:11:56,invalid_range
MATT,01:12:05,01:12:05,invalid_range
MATT,01:13:10,01:13:10,invalid_range
SAM,01:14:41,01:14:41,invalid_range
LAURA,01:16:02,01:16:02,invalid_range
TRAVIS,01:17:51,01:17:51,invalid_range
SAM,01:18:10,01:18:10,invalid_range
