speaker,start_time,end_time,text
MATT,00:00:00,00:00:06,"Hello everyone, and welcome to tonight's episode of Critical Role, where a bunch of us nerdy-ass voice actors sit around and play Dungeons & Dragons."
ALL,00:00:06,00:00:09,(hollering) We play Dungeons & Dragons!
MATT,00:00:09,00:00:16,"There you have it. Before we jump into tonight's episode, we do have some announcements to get through, beginning with the first of our two sponsors tonight. Sam?"
TALIESIN,00:00:16,00:00:29,"Thank you, Matt. This episode is brought to you by Elderwood Academy, makers of quality gaming themed gear, including spell books, deck boxes, dice towers, rolling trays and a whole lot more. They specialize in--"
SAM,00:00:29,00:00:38,"Whoa, whoa, whoa, whoa, whoa. What is going on? Taliesin, Elderwood Academy wants me, Sam Riegel, to do the sponsorship tonight, a-heh, and not you, okay?"
TALIESIN,00:00:38,00:00:39,What are you talking about? I am Sam Riegel.
SAM,00:00:39,00:00:42,What?!
TALIESIN,00:00:42,00:00:46,Can't you tell by my inane smile and my spongy feeble hands?
SAM,00:00:46,00:00:53,"No, no, no, no, nice try, but come on, everybody here knows that I'm the real Sam Riegel, right, guys? I mean..."
TRAVIS,00:00:53,00:01:02,"Uh. I don't know. I'm actually having a hard time telling who is who. I mean, you both seem really bad at sports."
SAM,00:01:02,00:01:07,"Okay, okay. Look, it's me. I mean, look, look at my cow-sized teeth."
TALIESIN,00:01:07,00:01:12,"No, no, I'm Sam. Look at my lack of human emotion and overwhelming hubris."
LAURA,00:01:12,00:01:15,"Yeah, this is tough. I mean, they're both really annoying."
TRAVIS,00:01:15,00:01:16,"Yeah, yeah."
LAURA,00:01:16,00:01:25,"Oh, I know. Let's ask them questions to prove which one's the imposter. Okay. Candidate A, how much does a carton of milk cost?"
TALIESIN,00:01:25,00:01:30,"Well, not very much, somewhere between $100 to $400, I presume."
LIAM,00:01:30,00:01:38,"I mean, that sounds like Sam; he's never done his own shopping. Candidate B, what is something you'd say to your pet dog?"
SAM,00:01:38,00:01:51,"Oh, well, that's a simple question. You run their hand across their, I want to say hair and you call them an excellent canine and then fetch your butler to go disinfect your hands right afterwards."
MARISHA,00:01:51,00:02:01,"Yeah, you know, Sam is terrible with animals. So that actually does track. Candidate A, if you could have lunch with any celebrity, living or dead, who would it be?"
TALIESIN,00:02:01,00:02:04,"Myself, of course. What a stupid question, Marisha."
ASHLEY,00:02:04,00:02:20,"Aw, what an asshole! That's our Sam! I'm pretty sure it's Candidate A, but okay, just in case, both of you answer the following question. What is the URL of tonight's sponsor?"
TALIESIN,00:02:20,00:02:22,"Hold on a second, I've got it right here."
SAM,00:02:22,00:02:25,It's elderwoodacademy.com/criticalrole.
MATT,00:02:25,00:02:30,"Oh yeah, that's Sam, most definitely."
TALIESIN,00:02:30,00:02:31,How did you know?
MATT,00:02:31,00:02:44,"Sorry, Taliesin. Sam may have no social awareness, sincere feelings and you know, hell, he might not even actually be a really good person, but the one thing he is perfect at is corporate shilling. You can't fake that kind of insincerity."
SAM,00:02:44,00:03:13,"Aww, (sniffs). Thank you, Matt, that's really nice. Anyway, Elderwood Academy makes high-end customized gear for all players and characters. Everything's designed to be functional and immersive. Check out their amazing stuff at elderwoodacademy.com/criticalrole and they're offering our audience 15% off when you use the code CritRole2020 at checkout on elderwoodacademy.com/criticalrole. I love you guys. Back to you, Matt."
TRAVIS,00:03:13,00:03:14,What a piece of shit.
MATT,00:03:14,00:03:25,"Thank you, Sam. You are a piece of shit. (laughter) Our second sponsor tonight, our returning friends since the beginning of this campaign, our friends at D&D Beyond."
ALL,00:03:25,00:03:27,♪ D&D Beyond ♪
MATT,00:03:27,00:04:17,"They have their new Avrae Discord Bot available, which is designed to streamline playing D&D games on Discord, which is pretty awesome. You can link Avrae directly into your D&D Beyond account and it'll help you run your games online with your friends through the Discord app, features advanced dice, SRD and character sheet integration, initiative tracking. You'll actually never need another D&D bot again, for now. But yes, start playing D&D through Discord today at dndbeyonda.link/avrae, Avrae. Also, it is D&D Beyond's third anniversary, which is amazing. Congratulations to you guys, three years of making awesome stuff easier for people. They're giving away a free dice of healing set to anybody who's a subscriber this month as part of this anniversary, so enjoy and happy anniversary to you guys."
TRAVIS,00:04:17,00:04:18,Amazing.
LAURA,00:04:18,00:04:19,I want it.
MATT,00:04:19,00:04:20,"Well, you should sign in and do it."
LAURA,00:04:20,00:04:20,Okay.
MATT,00:04:20,00:04:37,"Right now if you can. (laughter) We have the technology! Literally, it's in front of you. All right, other announcements we got, in case you guys missed it, Vox Machina: Origins, Volume II is available right now. (cheering) It's so pretty."
LIAM,00:04:37,00:04:39,There's stuff printed on the pages even?
MATT,00:04:39,00:04:52,"I know, it's crazy. This wonderful series is written by our good friend, Jody Houser. She does an incredible job with this, original art by our amazing Olivia Samson, who started this series with us, color by MSASSYK. Did I say it right?"
LIAM,00:04:52,00:04:54,I think.
MATT,00:04:54,00:05:12,"I always get it wrong, I'm so sorry if I got it wrong. Lettering by Ariana Maher and designed by Cindy Cacerez-Sprague, I believe, and sorry if I messed it up, too. We have the trade paperback as you saw and with the wonderful cover art there from our good critter friend, William Kirkby, which you probably have seen his art through many of our galleries and stuff online, he's amazing."
LIAM,00:05:12,00:05:13,@chamonkee!
MATT,00:05:13,00:05:27,"Indeed. Available at your local comic and bookstores, Amazon, Barnes & Noble, and as well as digitally through Dark Horse Digital and ComiXology. There is also the hardcover limited edition version of Volume II, which sits alongside the Volume I."
LAURA,00:05:27,00:05:29,So beautiful.
MATT,00:05:29,00:05:31,Which is so pretty.
LIAM,00:05:31,00:05:32,"Looks demonic, I love it."
MATT,00:05:32,00:05:35,"I know, it's pretty intense, works within the story and themes of it."
LAURA,00:05:35,00:05:37,"No, I haven't seen that."
MATT,00:05:37,00:05:57,"It comes with the foul red cover, the foil stamped cover and slip case, designed by the same Cindy who I mentioned earlier, and lithographic art by Hunter Severn Bonyun and Stephan McGowan. Yeah, they gave me all the names tonight, so I'm ruining them all and I'm so sorry. The limited edition is available exclusively through Critical Role, it's, like, our own program."
MARISHA,00:05:57,00:05:59,You even ruined our own name.
MATT,00:05:59,00:06:05,"I know, I know! It's too many names; they're all just falling apart now. We're done, we're done, I'm out."
TALIESIN,00:06:05,00:06:05,A recording session--
MARISHA,00:06:05,00:06:07,"Yeah, yeah!"
MATT,00:06:07,00:06:52,"The limited edition is available exclusively through our US, UK, and Australia online shops and once it's gone, it's gone, so get one if you can. There's that and a big quick shout out to the game Popup Dungeon, which just came out recently. It's a tactical rogue-like RPG video game that was inspired by tabletop games like the ones that we play here. You face incredibly difficult campaigns as you play. You can also create your own abilities, items, heroes, villains and games to customize entirely. It's super adorable. You can check out Popup Dungeon on Twitter for a special giveaway that we're running right now and see if you can hear some familiar voices throughout the game, including myself. So they're awesome folk. They've been working hard on this and it's actually pretty cool, so check them out. Last but not least, Laura, you had something to talk."
LAURA,00:06:52,00:06:52,I did.
SAM,00:06:52,00:06:54,Oh yeah!
LIAM,00:06:54,00:06:55,What is it?!
LAURA,00:06:55,00:07:03,"Well, it's just a little thing, but we were off last week, but while we were off, this went on sale and I had to show it off."
TRAVIS,00:07:03,00:07:04,Is that a Frumpkin?
LAURA,00:07:04,00:07:08,It is! It's a Frumpkin little hanging plushy.
LIAM,00:07:08,00:07:11,(squealing)
MARISHA,00:07:11,00:07:12,He's so cute!
LIAM,00:07:12,00:07:13,(squealing)
LAURA,00:07:13,00:07:28,"It's the cutest. So this is in the US, UK, and Australian shops and it's designed by Jenny Park. It's available right now. Check your shops, see if it's in stock. It's so cute and it would make a great Christmas ornament, I think."
MARISHA,00:07:28,00:07:30,"Oh, yeah, it would."
TRAVIS,00:07:30,00:07:31,Just don't drop it or it goes (poofing)
"LIAM, LAURA",00:07:31,00:07:33,Yeah.
LIAM,00:07:33,00:07:36,Don't send him to go looking for anything because he won't find it.
MARISHA,00:07:36,00:07:36,Keep out the reach of guards.
LAURA,00:07:36,00:07:37,"You want to see him, Liam?"
LIAM,00:07:37,00:07:37,Yes!
LAURA,00:07:37,00:07:39,Then keep him on your desk.
LIAM,00:07:39,00:07:40,"Yes, please."
TALIESIN,00:07:40,00:07:40,Good throw.
LIAM,00:07:40,00:07:44,"Ooh! I'm a dog person now, but I still love him."
ASHLEY,00:07:44,00:07:46,Look at him. (laughter)
LAURA,00:07:46,00:07:48,"So yeah, there's that."
MATT,00:07:48,00:07:50,"Awesome. Thank you, Laura."
LAURA,00:07:50,00:07:51,You're welcome.
MATT,00:07:51,00:07:57,"All right, I believe with that, it is time for us to jump into tonight's episode of..."
LAURA,00:07:57,00:07:58,Oh god.
MATT,00:07:58,00:09:37,"Critical Role. (grunting) (water bubbling) (thunder rumbling) (explosion) ♪ Role ♪ ♪ Critical, Critical Role ♪ ♪ Critical, Critical Role ♪ ♪ Critical, Critical Role ♪ ♪ Critical, Critical Role ♪ ♪ Mighty Nein, Mighty Nein ♪ ♪ Roll the dice ♪ ♪ Roll the dice ♪ ♪ The adventure begins ♪ ♪ They were always beside you ♪ ♪ Your nerdy best friends ♪ ♪ And the DM to guide you ♪ ♪ And they rise from the flames for the battles ahead ♪ ♪ Villains beware 'cause you're about to be dead ♪ (dramatic music) ♪ They got magic and flair ♪ ♪ They got falchions and cunning ♪ ♪ They don't see over there ♪ ♪ There's a monster incoming ♪ ♪ Inspiration is waiting, rise up, don't think twice ♪ ♪ Put your fate in your hands, take a chance, ♪ ♪ roll the dice ♪ ♪ Role, Critical (roll the dice) ♪ ♪ Role, Critical (roll the dice) ♪ ♪ Role, Critical (roll the dice) ♪ ♪ Role, Critical (roll the dice) ♪ ♪ Can you answer the call? ♪ ♪ Dig in deep in your soul ♪ ♪ As the legend unfolds ♪ ♪ Now it's your turn (your turn, your turn) ♪ ♪ to roll ♪ (flames whooshing) (dragon roaring)"
MATT,00:09:37,00:09:41,And welcome back. (laughter)
TRAVIS,00:09:41,00:09:46,"Wow. (firing, explosion) (laughter)"
MARISHA,00:09:46,00:09:48,"I had to finish it, it was hard to--"
TRAVIS,00:09:48,00:09:50,Somebody cover her up in dirt.
MATT,00:09:50,00:11:58,"We're already off the rails, and we haven't started. So last we left off: The Mighty Nein, after spending some time on the island of Rumblecusp in anticipation for the coming preparations of Traveler Con. You discovered a people that lived here who had lost their memories over time and some seemingly ancient entity known as Vokodo that had taken residence beneath the mountain. Upon learning about the different mysteries and dangers throughout, you discovered a cavern full of abandoned ships. You fought dangerous creatures around and eventually went beneath the mountain itself to fight this Vokodo creature. You learned, as it was dying, of what it was it seemed to be fleeing from within the Astral Sea. You escaped the boiling waters with the treasure that you had accrued from its hoard, and, it seemed, freed the people of Vokodo from this clouding fog that removed their memories from them. As they returned, many of them realized who they once were and decided to return to their old life. Some chose to stay with the new life they had made here, but nevertheless, a night of final celebration for the villagers of Vokodo as the village that it once was, was brought forth around a large bonfire. You all helped them into this final night, you saw some early arrivals to the Traveler Con event, begin to try and find their place amongst the vicinity. After saying your bits before the next day, you went and crashed up in Vilya's room and went to bed. And that was where we left off. So! As the warm temperature of the temperate island morning begins to creep into the chamber, the seaside moisture in the air itself sticking in a sweaty way to your skin, you begin to wake up one by one within the comfortable interior of the tree where Vilya had taken up residence as Viridian for quite some time. So what would you like to do, Mighty Nein?"
LAURA,00:11:58,00:12:01,(sighs)
SAM,00:12:01,00:12:06,Did you have your morning constitutional? (laughter) Or is that just you waking up?
LAURA,00:12:06,00:12:07,This is me waking up.
SAM,00:12:07,00:12:08,"Okay, cool, cool."
