speaker,start_time,end_time,text
MATT,00:00:00,00:00:06,"Hello everyone, and welcome to tonight's episode of Critical Role, where a bunch of us nerdy-ass voice actors sit around and play Dungeons & Dragons."
ALL,00:00:06,00:00:08,(hollering) We play Dungeons & Dragons!
MATT,00:00:08,00:00:23,"It's a lot of syllables in that one. But before we get into that, we do have some quick announcements to get through, beginning with the first of our two sponsors. The first is the wonderful NordVPN. So let's turn over to our resident hackers, Sam and Laura."
SAM,00:00:23,00:00:35,"Okay. Okay, KryptonicOverride. Now that Taliesin freed us from the internet, and with NordVPN encrypting our traffic and hiding our IP and physical location, we can unlock the secret of the evil Ultra Codex."
LAURA,00:00:35,00:00:42,"This'll be a walk in the park, blackwillow69. Time to ja-- ja..."
TALIESIN,00:00:42,00:00:43,Jack in?
LAURA,00:00:43,00:00:47,"Jack in, yes, to the main-- main something."
TALIESIN,00:00:47,00:00:47,Frame.
LAURA,00:00:47,00:00:49,Frame!
LAURA,00:00:49,00:00:51,Positronic. Obviously. Time to jack into the mainframe.
SAM,00:00:51,00:01:03,"Yeah, let's do it! Okay, here we go. Oh, a firewall. Oh, dang. I-- I have no idea what to do. I'm stuck."
LAURA,00:01:03,00:01:11,"Oh, BlackWillow, I got a cube over here? Guess I'm going to have to beam it? I don't know, do you beam a cube? I don't--"
SAM,00:01:11,00:01:16,"No, no, I think you dream it, or meme it? I can't remember."
LAURA,00:01:16,00:01:18,"Oh no, no, no, it's asking for a password!"
SAM,00:01:18,00:01:22,"Password? No problem. Wait, actually, we should probably respect their privacy and just stop right there."
TRAVIS,00:01:22,00:01:24,Whoa.
TALIESIN,00:01:24,00:01:28,Oh my GameCube. You've lost your powers!
SAM,00:01:28,00:01:30,"Wait, what?"
TALIESIN,00:01:30,00:01:37,"When you were in the web, the Serial Killer must have drained your haxxor abilities! Your minds have been sliced!"
SAM,00:01:37,00:01:44,But we're the most sophisticated key punchers the dark net has ever booted! There isn't a digital Kenan that we can't Kel!
TALIESIN,00:01:44,00:01:45,There's no doubt that--
ASHLEY,00:01:45,00:01:48,Wow. (laughter)
TALIESIN,00:01:48,00:01:55,"You are the greatest crypto kings to ever keylog a target. But without your hacking skills, you'll never beat the Ultra Codex."
LAURA,00:01:55,00:01:58,"What do we do, FreezerBurn?"
TALIESIN,00:01:58,00:02:06,"There is a way, but it's dangerous. I could download my entire 1.21 gigaflops of brain archives into your Flashdance protocol."
SAM,00:02:06,00:02:14,"Wait a second, a data transfer? But you'd be giving up your master level computer powers, forever!"
TALIESIN,00:02:14,00:02:19,"It's the only way. One last hack, for justice!"
"SAM, LAURA, TALIESIN",00:02:19,00:02:22,"Haxxors, click together."
SAM,00:02:22,00:02:30,Okay. (laughter) (laughter)
MATT,00:02:30,00:02:31,Oh no!
TALIESIN,00:02:31,00:02:34,We're only going to have one shot.
SAM,00:02:34,00:02:35,You okay over there?
TALIESIN,00:02:35,00:02:39,I'll be fine. (laughter)
TALIESIN,00:02:39,00:02:45,"Power glove is overcranked. Transfer modules, hot and bothered. Master and commander?"
SAM,00:02:45,00:02:46,The far side of the world.
LAURA,00:02:46,00:02:49,Far side of the world!
TALIESIN,00:02:49,00:02:55,"Farewell, hacker planet. It was leet while it lasted. Activating self-slice!"
"SAM, LAURA, TALIESIN",00:02:55,00:03:04,(screaming)
LAURA,00:03:04,00:03:05,Did it work?
SAM,00:03:05,00:03:08,Zero one zero one one zero zero one.
LAURA,00:03:08,00:03:09,(gasps) That's binary for yes.
SAM,00:03:09,00:03:11,Yeah!
LAURA,00:03:11,00:03:11,I know binary!
SAM,00:03:11,00:03:12,Yeah!
LAURA,00:03:12,00:03:15,"FreezerBurn, are you okay?"
TALIESIN,00:03:15,00:03:24,"Oh. Oh, who? Oh jeez. Those are some pretty doohickeys you got there. Are those calculators on your arm or something?"
LAURA,00:03:24,00:03:30,Holy shift. He's gone. FreezerBurn's sacrifice will not be in vain.
SAM,00:03:30,00:03:31,No.
LAURA,00:03:31,00:03:31,Because we're going to heck--
"SAM, LAURA",00:03:31,00:03:34,-- the Ultra Codex.
SAM,00:03:34,00:03:52,"Yeah, and with NordVPN's 68% off sale going on, it'll only cost us $3.71 a month, plus we get an additional month free when we sign up at nordvpn.com/criticalrole and use coupon code criticalrole. NordVPN's secure and unlimited service will literally save the world."
LAURA,00:03:52,00:03:52,Yeah.
"SAM, LAURA",00:03:52,00:03:56,"Matt, hack to you."
MATT,00:03:56,00:04:03,(sighs) (laughter)
MATT,00:04:03,00:04:10,Tune in next time for another techno-tastic episode of the Nord in the Stone.
TRAVIS,00:04:10,00:04:11,Wow.
MATT,00:04:11,00:04:14,If NordVPN never sponsors us again.
LIAM,00:04:14,00:04:15,That was a dramatic reading.
MATT,00:04:15,00:04:16,(laughs)
ASHLEY,00:04:16,00:04:17,That was very dramatic.
MATT,00:04:17,00:04:20,"Wow, yeah, that took some turns."
ASHLEY,00:04:20,00:04:21,The prop work was great.
SAM,00:04:21,00:04:22,Thank you.
MATT,00:04:22,00:04:23,Well done.
SAM,00:04:23,00:04:24,"Thank you, Maxwell."
MATT,00:04:24,00:04:30,"Thank you, Sam and Laura and Taliesin, and Nord VPN for your patience. And our--"
MARISHA,00:04:30,00:04:33,Did you shake it to turn it off? That was incredible!
MATT,00:04:33,00:04:35,(laughs)
MARISHA,00:04:35,00:04:36,Oh my god.
MATT,00:04:36,00:04:40,That's how I turn off all my electronics. That's how I turn off my PS4.
LAURA,00:04:40,00:04:42,"Might leave my haxxor gear on the table for the game, because it's awesome."
MATT,00:04:42,00:04:43,It's pretty cool.
TALIESIN,00:04:43,00:04:45,That looks like a lot of fun.
SAM,00:04:45,00:04:49,That won't distract us at all. (laughter)
MATT,00:04:49,00:04:55,"All righty, and our second sponsor for tonight, the returning sponsor friends from beginning of campaign two up until now, D&D Beyond."
ALL,00:04:55,00:04:57,♪ D&D Beyond ♪
MATT,00:04:57,00:05:39,"If you are new to D&D or just can't get enough of your own games, and you want to check out the legendary epic bundles and unlock all-- or epic legendary bundles, I should say-- and unlock all 38 current 5E D&D books for your table. You can do that now at D&D Beyond. You can access all the monsters, magical items, spells, and more for use on the digital tools on their site, and you can get 15% off all future source books and adventures on D&D Beyond on as well, plus anything you previously purchased on D&D Beyond is credited towards your bundled purchase. So check out the legendary bundle at dnddbeyond.link/crlb for Critical Role legendary bundle. Thank you, D&D Beyond. And that's it for our sponsors for tonight. As far as announcements go, Marisha, you got something to talk about."
MARISHA,00:05:39,00:05:47,"Yeah, in case you missed it, first episode back of Talks Machina. (laughter)"
MARISHA,00:05:47,00:05:48,Yeah!
SAM,00:05:48,00:05:48,Did it air already?
MARISHA,00:05:48,00:05:52,"It's back! It did, it aired and it is now on YouTube."
ASHLEY,00:05:52,00:05:54,It was so good!
MARISHA,00:05:54,00:05:54,It was great!
SAM,00:05:54,00:05:56,Brian was so great!
MARISHA,00:05:56,00:05:58,"Yeah, featuring Laura and Matt."
MATT,00:05:58,00:05:58,We had a good talk.
LAURA,00:05:58,00:05:59,Yeah.
MARISHA,00:05:59,00:05:59,Yeah.
MATT,00:05:59,00:06:00,Yeah.
MARISHA,00:06:00,00:06:21,"Amazing. And since it now airs every other week, next episode will air on Twitch next Tuesday, September 29th, 7:00pm, of course. Yeah, of course. And as always, the VOD will be available on YouTube on Thursday and the CritRole podcast network the following Tuesday. But it's back!"
MATT,00:06:21,00:06:21,Look at that shit.
MARISHA,00:06:21,00:06:22,Yeah.
SAM,00:06:22,00:06:22,Awesome.
MATT,00:06:22,00:06:23,Thank you.
MARISHA,00:06:23,00:06:25,Talking about the D&Ds.
LIAM,00:06:25,00:06:25,Woo.
MATT,00:06:25,00:06:26,Hell yeah.
MARISHA,00:06:26,00:06:26,Mm-hmm.
TRAVIS,00:06:26,00:06:28,Nice.
MATT,00:06:28,00:06:29,"All right, thank you, Marisha."
MARISHA,00:06:29,00:06:30,Double plug.
MATT,00:06:30,00:06:31,"And Laura, you got an announcement you want to make real fast."
LAURA,00:06:31,00:06:44,"Yes! It's a little one, but it's a good one. All of our Mighty Nein chibi pins designed by the wonderful Jenny Park are now available in our Australia store."
ALL,00:06:44,00:06:45,Hey!
LAURA,00:06:45,00:06:52,Ta-da! Check 'em out at shop.critrole.com.au.
MATT,00:06:52,00:06:52,Fantastic.
LAURA,00:06:52,00:06:54,"That's it, that's all I got."
MATT,00:06:54,00:08:43,"Awesome. Thank you, Laura. All righty. I believe with the end of our announcements, that brings us into tonight's episode of Critical Role. (water bubbling) (thunder rumbling) (explosion booming) ♪ Role ♪ ♪ Critical Role ♪ ♪ Critical Role ♪ ♪ Critical Role ♪ ♪ Critical Role ♪ ♪ Critical Role ♪ ♪ Mighty Nein, Mighty Nein ♪ ♪ Roll the dice, roll the dice ♪ ♪ The adventure begins ♪ ♪ They were always beside you ♪ ♪ Your nerdy best friends ♪ ♪ And the DM to guide you ♪ ♪ And they rise from the flames for the battles ahead ♪ ♪ Villains beware 'cause you're 'bout to be dead ♪ ♪ They got magic and flair ♪ ♪ They got falchions and cunning ♪ ♪ They don't see over there ♪ ♪ There's a monster incoming ♪ ♪ Inspiration is waiting, rise up, don't think twice ♪ ♪ Put your fate in your hands, ♪ ♪ take a chance, roll the dice ♪ ♪ Role ♪ ♪ Critical Role (roll the dice) ♪ ♪ Critical Role (roll the dice) ♪ ♪ Critical Role (roll the dice) ♪ ♪ Can you answer the call ♪ ♪ Diggin' deep in your soul ♪ ♪ As the legend unfolds ♪ ♪ Now it's your turn ♪ ♪ Your turn, your turn ♪ ♪ To roll ♪ (flames whooshing)"
MATT,00:08:43,00:08:56,"And welcome back. So last we left off: The Mighty Nein, after returning from Traveler Con and their adventures at Rumblecusp, made their way to Nicodranas to catch up a bit with Marion Lavorre."
LAURA,00:08:56,00:08:58,Yeah!
