speaker,start_time,end_time,emotion,scores,text
MATT,00:00:01,00:00:06,Happy,"{'Anger': 0.003581920638680458, 'Calm': 0.001684990944340825, 'Disgust': 0.004404804203659296, 'Fear': 0.011936860159039497, 'Happy': 0.9693818688392639, 'Neutral': 0.0028455923311412334, 'Sad': 0.001218832447193563, 'Surprised': 0.004945162683725357}","Hello everybody, and welcome to tonight's episode of Critical Role, where a bunch of nerdy-ass voice actors sit around and play Dungeons & Dragons."
ALL,00:00:06,00:00:11,Sad,"{'Anger': 0.00018836405070032924, 'Calm': 0.005073072388768196, 'Disgust': 0.006211842410266399, 'Fear': 0.03365907073020935, 'Happy': 0.000962461344897747, 'Neutral': 0.002732383320108056, 'Sad': 0.9497500061988831, 'Surprised': 0.0014228129293769598}",(hollering) We play Dungeons & Dragons!
MATT,00:00:11,00:00:22,Happy,"{'Anger': 0.0036732880398631096, 'Calm': 0.002014775760471821, 'Disgust': 0.005112414248287678, 'Fear': 0.011226313188672066, 'Happy': 0.9668148756027222, 'Neutral': 0.0031767201144248247, 'Sad': 0.0013684392906725407, 'Surprised': 0.006613252218812704}","Second episode back. Ah, I've missed this. Before we jump into tonight's episode, we do have some announcements to get through, so bear with us for just a moment. First and foremost, no sponsor tonight, but Sam, you said you wanted to say something?"
SAM,00:00:22,00:00:28,Happy,"{'Anger': 0.010953154414892197, 'Calm': 0.007712403312325478, 'Disgust': 0.06408996134996414, 'Fear': 0.17507964372634888, 'Happy': 0.6766576766967773, 'Neutral': 0.006602885667234659, 'Sad': 0.023637114092707634, 'Surprised': 0.03526715561747551}","Yeah. Tonight, I'm going to perform the most important ad of my career. I'm going to advertise myself."
SAM,00:00:28,00:00:34,Disgust,"{'Anger': 0.006107731722295284, 'Calm': 0.015942372381687164, 'Disgust': 0.39638882875442505, 'Fear': 0.14895989000797272, 'Happy': 0.048263419419527054, 'Neutral': 0.020585061982274055, 'Sad': 0.34128692746162415, 'Surprised': 0.022465813905000687}","Because we have no sponsor, so instead, I'm offering my services to the advertising world out there."
TRAVIS,00:00:34,00:00:35,Disgust,"{'Anger': 0.0019802493043243885, 'Calm': 0.0027101202867925167, 'Disgust': 0.8212838768959045, 'Fear': 0.009640400297939777, 'Happy': 0.0034686510916799307, 'Neutral': 0.012923448346555233, 'Sad': 0.14674396812915802, 'Surprised': 0.001249234308488667}",Oh god.
LIAM,00:00:35,00:00:37,Happy,"{'Anger': 0.004221720155328512, 'Calm': 0.004002575296908617, 'Disgust': 0.025586016476154327, 'Fear': 0.18638458847999573, 'Happy': 0.7417933344841003, 'Neutral': 0.0027433321811258793, 'Sad': 0.009899163618683815, 'Surprised': 0.025369225069880486}",He might do this every day.
SAM,00:00:37,00:01:33,Fear,"{'Anger': 0.0014574916567653418, 'Calm': 0.0016392121324315667, 'Disgust': 0.02478916384279728, 'Fear': 0.8558095097541809, 'Happy': 0.034042105078697205, 'Neutral': 0.001973968232050538, 'Sad': 0.07759283483028412, 'Surprised': 0.0026956552173942327}","Advertisers, sponsors, products, companies, I'm ready for you. Send me your ideas, I will sell your shit for you! Doesn't matter if it's bad, I'll still sell it, I don't care, I don't have any sort of shame. So just to demonstrate my skills, I'm going to take a kale chip, everybody hates kale chips! (chip crunching) Mm! Amazing, so good! Right? That's the kind of quality you can get in your ad. (laughter) In fact, I can even make up shitty songs, ready? ♪ Set sail, set sail, set sail with kale! ♪ ♪ Oh no, it's a whale! We're frail; we should bail. ♪ (laughter) ♪ What's this? The kale, the whale likes kale! ♪ ♪ We won't be assailed thanks to kale! ♪ See, that took me six seconds to write, and I can churn out this shit all day for you. So, please, please, when you're thinking of insincerity, think of Sam Riegel. Back to you, Matt."
MATT,00:01:33,00:01:35,Happy,"{'Anger': 0.0029764140490442514, 'Calm': 0.004032793454825878, 'Disgust': 0.03887833282351494, 'Fear': 0.4373076558113098, 'Happy': 0.47127971053123474, 'Neutral': 0.0027448791079223156, 'Sad': 0.02319369651377201, 'Surprised': 0.01958642154932022}","Thank you, Sam."
LAURA,00:01:35,00:01:40,Fear,"{'Anger': 0.0012394475052133203, 'Calm': 0.002366595668718219, 'Disgust': 0.03404254838824272, 'Fear': 0.8410478830337524, 'Happy': 0.019147217273712158, 'Neutral': 0.0014208019711077213, 'Sad': 0.09467429667711258, 'Surprised': 0.0060612959787249565}",Yeah! (laughter)
MATT,00:01:40,00:01:42,Happy,"{'Anger': 0.004087485838681459, 'Calm': 0.0018051995430141687, 'Disgust': 0.004076165612787008, 'Fear': 0.007298456504940987, 'Happy': 0.9729341268539429, 'Neutral': 0.0038980599492788315, 'Sad': 0.001031382940709591, 'Surprised': 0.004869068041443825}","Next up, Marisha, you had some announcements to make."
MARISHA,00:01:42,00:02:18,Happy,"{'Anger': 0.006589939817786217, 'Calm': 0.003684253664687276, 'Disgust': 0.09866252541542053, 'Fear': 0.03024645894765854, 'Happy': 0.8391879200935364, 'Neutral': 0.004109055269509554, 'Sad': 0.009043013677001, 'Surprised': 0.008476769551634789}","Oh yes, our next episode of Mighty Vibes will premiere tomorrow, July 10th, at 4:00pm Pacific on our Twitch channel! As a reminder, all of our VODs are available on YouTube two days after, so you know. Whenever you need to chill, and you should check out the other Mighty Vibes if you haven't, they're great. Also, join us next Tuesday, July 14th, at 7:00pm Pacific for a brand new episode of All Work No Play: Unplugged. And this time, it's featuring me, I'll be joining with Sam and Liam."
LIAM,00:02:18,00:02:20,Happy,"{'Anger': 0.004181324504315853, 'Calm': 0.005865049082785845, 'Disgust': 0.10945301502943039, 'Fear': 0.05406045913696289, 'Happy': 0.7671170830726624, 'Neutral': 0.009968738071620464, 'Sad': 0.04073929786682129, 'Surprised': 0.008614986203610897}",It was a good one!
MARISHA,00:02:20,00:02:21,Happy,"{'Anger': 0.004835337866097689, 'Calm': 0.0012762706028297544, 'Disgust': 0.004591702949255705, 'Fear': 0.006651698146015406, 'Happy': 0.976818323135376, 'Neutral': 0.002906338544562459, 'Sad': 0.0008942028507590294, 'Surprised': 0.0020261495374143124}",It's great!
SAM,00:02:21,00:02:23,Disgust,"{'Anger': 0.006590181961655617, 'Calm': 0.005686197895556688, 'Disgust': 0.8020239472389221, 'Fear': 0.05343591421842575, 'Happy': 0.035173021256923676, 'Neutral': 0.004675393924117088, 'Sad': 0.08005685359239578, 'Surprised': 0.012358606792986393}","It was, when we shot that episode was really good."
MARISHA,00:02:23,00:02:34,Happy,"{'Anger': 0.009922773577272892, 'Calm': 0.004977165721356869, 'Disgust': 0.46583423018455505, 'Fear': 0.01709161512553692, 'Happy': 0.4731692671775818, 'Neutral': 0.007375375367701054, 'Sad': 0.013153349049389362, 'Surprised': 0.008476288057863712}","I loved it when we talked about that thing. Yeah, so you can catch that VOD, on Thursday, next Thursday."
TRAVIS,00:02:34,00:02:36,Happy,"{'Anger': 0.009660129435360432, 'Calm': 0.011126123368740082, 'Disgust': 0.01298988051712513, 'Fear': 0.04149378091096878, 'Happy': 0.5901138782501221, 'Neutral': 0.004143982660025358, 'Sad': 0.003507806221023202, 'Surprised': 0.32696443796157837}",The future is awesome!
SAM,00:02:36,00:02:38,Happy,"{'Anger': 0.0037411481607705355, 'Calm': 0.00190056418068707, 'Disgust': 0.004350123926997185, 'Fear': 0.012087162584066391, 'Happy': 0.967384934425354, 'Neutral': 0.0026726163923740387, 'Sad': 0.0011914650676771998, 'Surprised': 0.0066720182076096535}","Not this Thursday, which is--?"
