speaker,start_time,end_time,text
MATT,00:00:00,00:00:05,"Hello, everyone, and welcome to tonight's episode of Critical Role, where a bunch of us nerdy-ass voice actors sit around and play Dungeons & Dragons."
TRAVIS,00:00:05,00:00:05,(hollering) We play Dungeons & Dragons!
LIAM,00:00:05,00:00:09,(triumphant trumpeting)
MATT,00:00:09,00:00:19,"Before we jump into tonight's session, we do have some announcements to get through, including and first up, our two sponsors for tonight, beginning with our first sponsor, Ravensburger. Sam."
TALIESIN,00:00:19,00:00:20,Ravensburger.
SAM,00:00:20,00:00:20,Oh! Doc!
TRAVIS,00:00:20,00:00:22,What?
SAM,00:00:22,00:00:26,Doc! I'm back from the future with crazy news!
LIAM,00:00:26,00:00:32,"I can barely see the script through these glasses. We've done this before, Marty, how bad could it be?"
SAM,00:00:32,00:00:39,"You don't get it, Doc, I went to the year 2020, and it was heavy."
LIAM,00:00:39,00:00:46,"Heavy? What, did Biff stir up more trouble with his Sports Almanac? (laughter)"
SAM,00:00:46,00:00:49,"I mean, yeah, sports isn't really a thing any more in 2020."
LIAM,00:00:49,00:00:52,"Oh, is it your kids, Marty? Are they in trouble?"
SAM,00:00:52,00:00:56,"Kids, parents, pretty much everyone. It's kind of a global thing."
LIAM,00:00:56,00:01:03,"No, no, no, don't tell me too much! It could affect reality as we know it. Oh. (laughter)"
SAM,00:01:03,00:01:06,"Whoa, Doc, are you checking a photo to see if I'm disappearing?"
LIAM,00:01:06,00:01:12,"No, Marty, it's a picture of Matt Mercer. His face, it's so elastic; I love it!"
SAM,00:01:12,00:01:18,"Yeah, it is pretty funny. Listen, Doc, about 2020, it gets pretty rough."
LIAM,00:01:18,00:01:26,"No matter what happens, I'm sure you solved it with some hilarious antics, like riding a hoverboard or wearing a Darth Vader mask to fool your dad."
SAM,00:01:26,00:01:28,"I mean, I did wear a mask."
LIAM,00:01:28,00:01:32,Got a little There Will Be Blood there for a second. And did you punch Biff in the face?
SAM,00:01:32,00:01:34,"No, I didn't get within six feet of Biff, or really anyone."
LIAM,00:01:34,00:01:40,"Great Scott! Marty, was there anything good about 2020?"
SAM,00:01:40,00:01:58,"Actually, there was. The folks at Ravensburger released their new cooperative dice game, Back to the Future: Dice Through Time. In it, Biff steals the DeLorean and takes a joyride through time doing untold damage to the space-time continuum. It's up to you to restore the temporal order."
LIAM,00:01:58,00:02:01,"Oh, great Scott, that sounds more like it!"
SAM,00:02:01,00:02:16,"So jump into your DeLorean, traverse the Back to the Future film trilogy, and return items to their... proper place in time. (laughter) The game includes four miniature-- Is this close to the voice? It's not, is it?"
MARISHA,00:02:16,00:02:17,Well--
MATT,00:02:17,00:02:17,No.
MARISHA,00:02:17,00:02:19,"A little Morty, it's fine."
ASHLEY,00:02:19,00:02:21,It sounds great. (laughter)
SAM,00:02:21,00:03:14,"The game includes four miniature DeLoreans, a letter from the future's Doc Brown, and colorful dice, Scoob! And you can enter-- (laughter) And, like, you can enter for your chance to win a copy of the game by heading over to @RavensburgerNA on Twitter to, like, see where they're giving away 10 copies of the game right now! It's available at Target and in the UK. It's at Target, which is a store, or the country-- (laughter) of the United Kingdom. So two places you can get it, guys: at Target, or the entire nation of the United Kingdom. So go check it out at http://bit.ly/CROUTATIME. That'll be spelled. And thanks to Ravensburger for, like, continuing to support our show. (laughter)"
MATT,00:03:14,00:03:16,Whoa.
SAM,00:03:16,00:03:18,"That was a disaster, Liam."
MATT,00:03:18,00:03:18,Yeah.
ASHLEY,00:03:18,00:03:20,"Wait, what did that sound--"
LIAM,00:03:20,00:03:21,"Hold on, let me just get this tribble off my head."
LAURA,00:03:21,00:03:23,It sounds like Rick and Morty.
MARISHA,00:03:23,00:03:23,Yeah.
LAURA,00:03:23,00:03:25,You were Morty.
SAM,00:03:25,00:03:27,I don't do voices.
TALIESIN,00:03:27,00:03:29,Have you ever seen Back to the Future?
SAM,00:03:29,00:03:29,I have seen it!
LAURA,00:03:29,00:03:31,"Question, Matthew Mercer."
MATT,00:03:31,00:03:31,Yes.
LAURA,00:03:31,00:03:34,Is it Rav-ensburger or Ravens-burger?
ASHLEY,00:03:34,00:03:34,Rahv-ensburger.
MATT,00:03:34,00:03:35,I--
LAURA,00:03:35,00:03:36,Rahv-ensburger?
