speaker,start_time,end_time,text
MATT,00:00:00,00:00:06,"Hello, everyone, and welcome to tonight's episode of Critical Role. Where us nerdy-ass voice actors sit around and play Dungeons & Dragons."
ALL,00:00:06,00:00:09,We play Dungeons & Dragons!
MATT,00:00:09,00:00:25,"If you haven't noticed, we are in our Halloween episode. So yes, before we jump into our announcements, let's go ahead and introduce everyone's fantastic Halloween attire. Let's begin, to my left over here, we have Travis Willingham. Dressed as..."
TRAVIS,00:00:25,00:00:28,"(laughs) Hi, Matt!"
MATT,00:00:28,00:00:32,Hey buddy. (laughs)
TRAVIS,00:00:32,00:00:51,"(Cajun accent) Yeah, I'm Orly. Navigator of the Balleater. Rest in peace. Oh wait, it's over here. (laughter) I got a wicked sleeve and a Cajun tattoo. No, accent. (laughs)"
LAURA,00:00:51,00:00:51,Wow.
TALIESIN,00:00:51,00:00:52,Wow.
TRAVIS,00:00:52,00:00:57,"It's really hot in this mask, guys! It's covered in spray paint."
MATT,00:00:57,00:00:59,Really fresh spray paint.
TALIESIN,00:00:59,00:01:02,What have you got down there? What is that red thing? That red--
TRAVIS,00:01:02,00:01:16,"Oh, this? Oh, well, he plays the bagpipes. (bagpipes squealing) (laughter)"
MATT,00:01:16,00:01:20,Holy shit! (laughs)
LIAM,00:01:20,00:01:23,You don't want to see that leaning over your bed in the middle of the night.
MATT,00:01:23,00:01:28,We should not have started with you. It's all downhill from here.
SAM,00:01:28,00:01:29,Cowabunga!
MATT,00:01:29,00:01:31,"Travis, well done on Orly."
LAURA,00:01:31,00:01:31,Wow.
ASHLEY,00:01:31,00:01:32,"Oh, fantastic."
MATT,00:01:32,00:01:37,"Now, Laura. Looking fabulous as..."
LAURA,00:01:37,00:01:56,"I'm my dad. (laughter) I'm The Gentleman. That's all I got, I'm blue. I got a wineglass. (laughter) I... I don't know, that's all I got. I would've sprayed water on myself, but the paint would've come off, so... This is all I got."
MATT,00:01:56,00:01:57,Good call. Good call.
SAM,00:01:57,00:01:59,You look super hot.
MATT,00:01:59,00:02:00,"Awesome. You look great, Laura."
TRAVIS,00:02:00,00:02:03,"The contouring, the contouring!"
MARISHA,00:02:03,00:02:04,So good.
MATT,00:02:04,00:02:06,"Liam, Liam O'Brien."
LIAM,00:02:06,00:02:18,"I am dressed as Astrid, Astrid Beck. Star pupil of the Soltryce Academy. I received a lot of great makeup tips from Marisha and Laura over the past couple of days. Thank you, ladies."
MARISHA,00:02:18,00:02:19,Looks fabulous.
LIAM,00:02:19,00:02:22,"I feel beautiful, minus the terrible burns."
TRAVIS,00:02:22,00:02:22,Let's see those forearms.
MARISHA,00:02:22,00:02:24,Show off those tattoos.
LAURA,00:02:24,00:02:27,Yeah! Ooh!
SAM,00:02:27,00:02:28,Nice.
LIAM,00:02:28,00:02:31,This is made of toilet paper.
LAURA,00:02:31,00:02:31,Is it really?
MATT,00:02:31,00:02:32,Delightful.
LIAM,00:02:32,00:02:32,Yeah.
LAURA,00:02:32,00:02:33,That's impressive.
LIAM,00:02:33,00:02:33,And latex.
MATT,00:02:33,00:02:35,"Yeah, a little liquid latex. It's classic. You look great, man."
LIAM,00:02:35,00:02:37,Thank you.
MATT,00:02:37,00:02:39,Sam.
SAM,00:02:39,00:02:48,"I am Kiri! Yes, I am very sweet! (laughter) I cannot see!"
MATT,00:02:48,00:02:49,Where's your knife?
SAM,00:02:49,00:03:00,Oh! (laughs) Sorry. Ah! (laughter) I've killed people! Welcome to the Mighty Nein!
TRAVIS,00:03:00,00:03:04,Oh my god! Oh my god.
MATT,00:03:04,00:03:07,"Perfect, thank you, Sam."
SAM,00:03:07,00:03:10,Go fuck yourself! (laughter)
MATT,00:03:10,00:03:13,"There you have it. All righty, Ashley."
ASHLEY,00:03:13,00:03:23,I'm Henry Crabgrass. (laughter) Always ask for consent!
MATT,00:03:23,00:03:32,"I love it, it's so good. (as Henry) Well, I appreciate that, it's a great choice for a Halloween costume, well done. Taliesin."
TALIESIN,00:03:32,00:03:41,"I am Archivist Zeenoth from Zadash. Got my book and my scowl. Quite a bit, quite a bit, yes."
LAURA,00:03:41,00:03:42,And your lovely coif.
ASHLEY,00:03:42,00:03:42,"Oh, lovely."
TALIESIN,00:03:42,00:03:43,"Yes, gorgeous."
MARISHA,00:03:43,00:03:45,"Good to see you, dude."
TALIESIN,00:03:45,00:03:47,Yes.
MATT,00:03:47,00:03:51,"I guess, while we're in that space, Marisha, if you'd like to..."
MARISHA,00:03:51,00:03:59,"Oh, yes, I am Celia, Celia Ovesso. Devout follower of The Traveler, and..."
SAM,00:03:59,00:04:00,Amazing.
MARISHA,00:04:00,00:04:12,"While I know that I was very cold, and maybe closed off, I really don't know if... any of this was warranted. (laughter)"
SAM,00:04:12,00:04:14,So good.
MARISHA,00:04:14,00:04:27,"I just don't know if this was a just sentence for... my crimes of just being a little bit too myself, but, I will have to deal with this for the rest of my life, so, thank you."
MATT,00:04:27,00:04:27,Well done.
SAM,00:04:27,00:04:31,"What does your shirt say? Oh, nice, nice."
MARISHA,00:04:31,00:04:38,"I got it, some guy was selling them on the roadside, on the way out, but I think it's a knockoff."
TALIESIN,00:04:38,00:04:40,You don't have to be so hard on yourself there though.
MATT,00:04:40,00:04:40,Hey-o.
ASHLEY,00:04:40,00:04:42,Ey.
LIAM,00:04:42,00:04:45,"Just wondering, does anyone have a Wish spell?"
MATT,00:04:45,00:04:47,"Just, just if you're looking."
MARISHA,00:04:47,00:04:56,I'm raising money. You can kick into my GoFundMe to try and buy a Wish spell. Thank you. Thank you very much.
MATT,00:04:56,00:05:02,"All righty. Everyone, you look fabulous, I'm so excited every time the year we get to do this, it makes me happy."
LAURA,00:05:02,00:05:03,"Wait, and who are you, Matt?"
MATT,00:05:03,00:05:20,"""I... Am Artagan, in some places known as The Traveler. And let me tell you--"" ""Well, actually it's not much of religion anymore, is it? Never mind, just go about your business, and, sorry, Celia. Don't worry."""
LAURA,00:05:20,00:05:21,You look really good!
ASHLEY,00:05:21,00:05:23,You look so good.
MATT,00:05:23,00:05:30,"Well, let's go ahead and jump into our announcements tonight, beginning with our sponsor for the evening, NordVPN, Sam."
SAM,00:05:30,00:06:24,"Happy Hack-oween, web crawlers! I've been stroking my keys all year trying to defrag the Ultracodex and save the WWW Dot Planet. But tonight, the only packets I'll be DL-ing are these delicious assorted candy bars I picked up trick or leet-ing this week. (chuckles) Oh! Oh no! Candy corn? My candy bag has been hacked! If only I had somehow installed NordVPN on it! Providers of highest quality encryption for your internet traffic and hiding your IP and physical location. Right now, they have a special cyber deal, every two year plan purchase gets one additional month free and a surprise gift, go to nordvpn.com/criticalrole and use coupon ""criticalrole"" at checkout to sign up, but what kind of cookie monster would jailbreak somebody's hard candy hard drive? I will have to do a sweet scan to find out!"
MATT,00:06:24,00:06:24,Oh my god. (laughs)
SAM,00:06:24,00:06:27,(trills)
LIAM,00:06:27,00:06:27,"Oh, wow. Sound effects."
SAM,00:06:27,00:06:37,"Oh, look! What's this? Holy HDMI! A hidden USB drive! I'll just... Jack in."
TRAVIS,00:06:37,00:06:39,Nope.
SAM,00:06:39,00:06:56,"Uh-huh. Okay, here we go. (laughter) Trip the trinary, snork the SilverHawk, leg sweep the Cobra Kai, gleaming cube, I've hacked it! It's a text file that says, ""Eat this, you latex dork."" What does that even mean?"
MATT,00:06:56,00:06:59,"Wait, wait, wait. Latex?"
SAM,00:06:59,00:07:02,"Yeah, latex dork."
MATT,00:07:02,00:07:07,"That's my Playa name, when we're at Burning Man, Marisha calls me latex dork."
SAM,00:07:07,00:07:11,Why does Marisha call you latex dork?
MATT,00:07:11,00:07:13,No reason...
MARISHA,00:07:13,00:07:14,(chuckles)
SAM,00:07:14,00:07:21,"But why would they insult you, Matt? That's my job! Wait a second. Matt? Check your desk."
MATT,00:07:21,00:07:25,What? The missing candy!
SAM,00:07:25,00:07:34,"Yes, I knew it. Whoever key punched my Kit-Kats is trying to turn us against each other! Drive a wedge between you and me, but why? And who?"
MATT,00:07:34,00:07:40,"Maybe we'll find out, next time NordVPN sponsors this show, maybe, if it ever happens again."
SAM,00:07:40,00:07:43,"Check them out at nordvpn.com, Matt, hack to you."
TRAVIS,00:07:43,00:07:49,(bagpipes squeaking) (laughter)
MATT,00:07:49,00:07:56,"Thank you, Sam. Thank you, NordVPN, thank you, Orly, for the wonderful musical accompaniment there."
LIAM,00:07:56,00:07:57,"Funky, little turtle man."
MATT,00:07:57,00:08:50,"Indeed. We have a few other announcements. Some of you may have noticed, but this week, we announced our brand new publishing company, Darrington Press. (cheering) Been in the works for a little while, happy we can finally talk about it. It is headed by our good friend, Ivan Van Norman here. (cheering) ""Hey, guys!"" Some people know them in the tabletop space. We've all been doing this stuff together for a long time, he's wonderful and we're happy to have him helming that. And I'm excited to be on the board as a creative advisor as well. We have a lot of cool things coming up. First off, our game coming out first, Uk'otoa, which we'll release in the first quarter of 2021. Uk'otoa is a tactical game of semi-cooperative card play with factions of sailors vying to be the final survivor of the raging sea leviathan, Uk'otoa."
ALL,00:08:50,00:08:52,(whispering) Uk'otoa...
MATT,00:08:52,00:09:10,"You can sign up for our newsletter at darringtonpress.com to hear more about Uk'otoa and our other upcoming releases. Oh, and check out our announcement at critrole.com for more information on Darrington Press, a peek at Uk'otoa's box art and creative team, and a glance at our game slate for 2021."
ALL,00:09:10,00:09:10,(whispering) Uk'otoa...
MATT,00:09:10,00:09:14,"Super excited. Wow, you guys. Just, some things never die."
TALIESIN,00:09:14,00:09:15,Like Uk'otoa.
MATT,00:09:15,00:09:17,"Ashley, you got some announcements, I believe?"
ASHLEY,00:09:17,00:10:40,"Hey! So... Thank you so much for your support. (laughter) I'm not going to be able to do this seriously. Yeah, thank you so much for everything that you guys have done and all of your support for the Critical Role Foundation. So since this show is prerecorded, I don't have gloves, so. It's hard to give you an accurate update as to where we are at with the campaign. But we'll be closing our First Nations campaign once we hit $200,000. Which will fund the Native Youth and Culture Funds for eight programs. We were just starting with two, and then you guys are just amazing. We're so stoked, this is so awesome. And then, as a reminder, whenever we don't have an active campaign, donations received will be split evenly between our partner charities. We got 826LA. We got OSD. We got Red Nose Day. We got the Pablove Foundation. And we got OutRight Action International. And with 10% continuing to go to our emergency relief fund, we have many plans, we are so excited, thank you so much. For more info, go to criticalrolefoundation.org."
MATT,00:10:40,00:10:55,"Thank you, Ashley, and thank you, everyone for being fabulous, generous, and good souls. And for your faith. No seriously, you guys have been fantastic. Thank you for supporting this endeavor and it's just the beginning. More good to come. Thank you. Laura, you had some things to talk about."
LAURA,00:10:55,00:11:00,Feel like Orly was trying to play just then and it wasn't coming out.
TRAVIS,00:11:00,00:11:01,(bagpipes squeaking)
LAURA,00:11:01,00:11:01,There you go.
MATT,00:11:01,00:11:04,With the Night Court theme? (laughter)
MATT,00:11:04,00:11:08,It's good.
