speaker,start_time,end_time,emotion,scores
MATT,00:15:03,00:15:33,disgust,"{'angry': 0.0020775015000253916, 'calm': 0.0007296295370906591, 'disgust': 0.9400177001953125, 'fearful': 0.00710297143086791, 'happy': 0.0018390817567706108, 'sad': 0.046724531799554825, 'surprised': 0.001508530112914741}"
TRAVIS,00:15:33,00:15:48,disgust,"{'angry': 0.0029147907625883818, 'calm': 0.0004900070489384234, 'disgust': 0.9763359427452087, 'fearful': 0.003225443884730339, 'happy': 0.0025930977426469326, 'sad': 0.012663592584431171, 'surprised': 0.0017769912956282496}"
LAURA,00:15:48,00:15:54,disgust,"{'angry': 0.0015173120191320777, 'calm': 0.0008405769476667047, 'disgust': 0.7851483821868896, 'fearful': 0.017780505120754242, 'happy': 0.0012474743416532874, 'sad': 0.19094723463058472, 'surprised': 0.0025184922851622105}"
TRAVIS,00:15:54,00:15:56,sad,"{'angry': 0.0005877648945897818, 'calm': 0.001341578084975481, 'disgust': 0.12180081009864807, 'fearful': 0.02697697840631008, 'happy': 0.0004013042780570686, 'sad': 0.8470512628555298, 'surprised': 0.0018402481218799949}"
LAURA,00:15:56,00:15:59,sad,"{'angry': 0.0007782531902194023, 'calm': 0.001188537571579218, 'disgust': 0.08936619758605957, 'fearful': 0.0792820006608963, 'happy': 0.0007055616588331759, 'sad': 0.8271326422691345, 'surprised': 0.0015467695193365216}"
MATT,00:15:59,00:16:02,disgust,"{'angry': 0.004752750042825937, 'calm': 0.0019442724296823144, 'disgust': 0.929008424282074, 'fearful': 0.011348901316523552, 'happy': 0.005601197946816683, 'sad': 0.04632098227739334, 'surprised': 0.0010234067449346185}"
LAURA,00:16:02,00:16:06,disgust,"{'angry': 0.00216083531267941, 'calm': 0.0005528206820599735, 'disgust': 0.9022536873817444, 'fearful': 0.017519252374768257, 'happy': 0.0025899054016917944, 'sad': 0.07193683087825775, 'surprised': 0.002986795036122203}"
LIAM,00:16:06,00:16:27,disgust,"{'angry': 0.0020303239580243826, 'calm': 0.0011173189850524068, 'disgust': 0.6023878455162048, 'fearful': 0.05135010555386543, 'happy': 0.0018978333100676537, 'sad': 0.33904731273651123, 'surprised': 0.002169276587665081}"
TALIESIN,00:16:27,00:16:50,disgust,"{'angry': 0.004528807941824198, 'calm': 0.0005063433782197535, 'disgust': 0.9804865717887878, 'fearful': 0.0021665310487151146, 'happy': 0.0030698732007294893, 'sad': 0.007317808922380209, 'surprised': 0.0019239854300394654}"
MARISHA,00:16:50,00:16:59,disgust,"{'angry': 0.0024001612327992916, 'calm': 0.0005000705132260919, 'disgust': 0.9335339069366455, 'fearful': 0.01192711666226387, 'happy': 0.002405888168141246, 'sad': 0.04676859453320503, 'surprised': 0.0024642744101583958}"
MATT,00:16:59,00:17:00,sad,"{'angry': 0.00019177868671249598, 'calm': 0.0019542984664440155, 'disgust': 0.00956491008400917, 'fearful': 0.029592538252472878, 'happy': 0.0001943891984410584, 'sad': 0.9574840664863586, 'surprised': 0.0010180682875216007}"
MATT,00:17:00,00:17:01,fearful,"{'angry': 0.0038192945066839457, 'calm': 0.0005751794669777155, 'disgust': 0.01594804786145687, 'fearful': 0.9250917434692383, 'happy': 0.008145000785589218, 'sad': 0.04534979537129402, 'surprised': 0.0010708703193813562}"
MARISHA,00:17:01,00:17:14,disgust,"{'angry': 0.002579469932243228, 'calm': 0.0005087273893877864, 'disgust': 0.9729481339454651, 'fearful': 0.0036474664229899645, 'happy': 0.0023873059544712305, 'sad': 0.016099408268928528, 'surprised': 0.0018294407054781914}"
MATT,00:17:14,00:17:15,sad,"{'angry': 0.0031971295829862356, 'calm': 0.0017977560637518764, 'disgust': 0.4086686372756958, 'fearful': 0.1403726190328598, 'happy': 0.0036661529447883368, 'sad': 0.4405248761177063, 'surprised': 0.0017728254897519946}"
"ORION, MATT",00:17:15,00:17:16,fearful,"{'angry': 0.007043659221380949, 'calm': 0.001489820540882647, 'disgust': 0.09242097288370132, 'fearful': 0.7422716617584229, 'happy': 0.013297299854457378, 'sad': 0.14170396327972412, 'surprised': 0.0017726459773257375}"
ORION,00:17:16,00:17:24,disgust,"{'angry': 0.005871695000678301, 'calm': 0.002658378565683961, 'disgust': 0.6179347634315491, 'fearful': 0.11820732057094574, 'happy': 0.009109297767281532, 'sad': 0.2444351762533188, 'surprised': 0.001783289248123765}"
MARISHA,00:17:24,00:17:25,sad,"{'angry': 0.0007692108047194779, 'calm': 0.0014341361820697784, 'disgust': 0.09985314309597015, 'fearful': 0.07071641087532043, 'happy': 0.0007289331988431513, 'sad': 0.8252396583557129, 'surprised': 0.001258517149835825}"
ORION,00:17:25,00:17:26,fearful,"{'angry': 0.0015581304905936122, 'calm': 0.0007186578004620969, 'disgust': 0.0029114901553839445, 'fearful': 0.967260479927063, 'happy': 0.009884146973490715, 'sad': 0.017074814066290855, 'surprised': 0.0005922547425143421}"
MARISHA,00:17:26,00:17:27,disgust,"{'angry': 0.002859248546883464, 'calm': 0.0013689887709915638, 'disgust': 0.7905759215354919, 'fearful': 0.034233734011650085, 'happy': 0.0032695711124688387, 'sad': 0.16607443988323212, 'surprised': 0.0016180904349312186}"
