segment,frame_id,timestamp,speaker,emotion,scores
episode107_000.mp4,0,0:00:00,matt,Neutral,"[0.1515398919582367, 3.440018554101698e-05, 0.003703936468809843, 0.047467753291130066, 0.0030847054440528154, 0.0037331220228224993, 0.7904361486434937]"
episode107_000.mp4,30,0:00:01,matt,Neutral,"[0.019034493714571, 0.0005164122558198869, 0.03906891122460365, 0.06918992102146149, 0.004421712830662727, 0.006018543615937233, 0.8617500066757202]"
episode107_000.mp4,60,0:00:02,matt,Happy,"[0.004960909020155668, 0.00042797692003659904, 0.009823818691074848, 0.7221536636352539, 0.004624737426638603, 0.041131410747766495, 0.21687747538089752]"
episode107_000.mp4,90,0:00:03,matt,Happy,"[0.004541077185422182, 0.00024037719413172454, 0.003851579735055566, 0.6166389584541321, 0.0030134173575788736, 0.033605482429265976, 0.3381090760231018]"
episode107_000.mp4,120,0:00:04,matt,Happy,"[0.014016016386449337, 0.0006565463845618069, 0.012713932432234287, 0.5284030437469482, 0.012785774655640125, 0.04184078425168991, 0.38958385586738586]"
episode107_000.mp4,150,0:00:05,matt,Neutral,"[0.15763941407203674, 0.007272344548255205, 0.039948560297489166, 0.28213539719581604, 0.010818147100508213, 0.046251438558101654, 0.4559347331523895]"
episode107_000.mp4,180,0:00:06,matt,Angry,"[0.08491559326648712, 0.087905153632164, 0.09573733061552048, 0.04511811584234238, 0.19139432907104492, 0.33788153529167175, 0.15704792737960815]"
episode107_000.mp4,210,0:00:07,matt,Neutral,"[0.39917728304862976, 0.00012597921886481345, 0.004492482636123896, 0.002228503581136465, 0.017557131126523018, 0.017399802803993225, 0.5590187907218933]"
episode107_000.mp4,240,0:00:08,matt,Neutral,"[0.03814299404621124, 2.443159610265866e-05, 0.0036335184704512358, 0.20066162943840027, 0.00414634682238102, 0.01056287344545126, 0.7428281903266907]"
episode107_000.mp4,270,0:00:09,matt,Neutral,"[0.0005058947717770934, 0.00089289341121912, 0.1495160162448883, 0.12207064032554626, 0.009547540917992592, 0.06420308351516724, 0.6532638669013977]"
episode107_000.mp4,300,0:00:10,matt,Neutral,"[0.000413350120652467, 0.00016725226305425167, 0.005298938136547804, 0.15158438682556152, 0.00698859104886651, 0.05428861081600189, 0.7812588810920715]"
episode107_000.mp4,330,0:00:11,matt,Neutral,"[0.03228224068880081, 0.0009390275808982551, 0.04498002305626869, 0.015209526754915714, 0.016428524628281593, 0.028503570705652237, 0.8616570830345154]"
