segment,frame_id,timestamp,speaker,emotion,scores
episode111_000.mp4,0,0:00:00,matt,Neutral,"[0.004366976208984852, 7.176727376645431e-05, 0.0015418112743645906, 0.004104846157133579, 0.012502321973443031, 0.004626046866178513, 0.9727862477302551]"
episode111_000.mp4,30,0:00:01,matt,Neutral,"[0.1947123259305954, 0.00014852432650513947, 0.021760303527116776, 0.0008248475496657193, 0.011412587948143482, 0.010519093833863735, 0.7606222629547119]"
episode111_000.mp4,60,0:00:02,matt,Neutral,"[0.20933739840984344, 0.0033989043440669775, 0.017347095534205437, 0.06989199668169022, 0.008500146679580212, 0.10717189311981201, 0.5843525528907776]"
episode111_000.mp4,90,0:00:03,matt,Neutral,"[0.20851346850395203, 0.002623717300593853, 0.0278239194303751, 0.00459935562685132, 0.004990694113075733, 0.03711038827896118, 0.714338481426239]"
episode111_000.mp4,120,0:00:04,matt,Neutral,"[0.24920585751533508, 0.0008757414761930704, 0.012004200369119644, 0.0033611718099564314, 0.013465000316500664, 0.05117739364504814, 0.6699106693267822]"
episode111_000.mp4,150,0:00:05,matt,Neutral,"[0.29158395528793335, 0.014416652731597424, 0.01183177437633276, 0.03557909280061722, 0.05960525944828987, 0.0963081493973732, 0.490675151348114]"
episode111_000.mp4,180,0:00:06,matt,Neutral,"[0.18867234885692596, 0.0020233162213116884, 0.0409228578209877, 0.019834375008940697, 0.1153172180056572, 0.11871012300252914, 0.5145197510719299]"
episode111_000.mp4,210,0:00:07,matt,Neutral,"[0.22966955602169037, 0.005709096323698759, 0.009755946695804596, 0.0012401401763781905, 0.03990235552191734, 0.04723376780748367, 0.6664891242980957]"
episode111_000.mp4,240,0:00:08,matt,Neutral,"[0.0997956395149231, 0.31820064783096313, 0.1712781935930252, 0.00011200655717402697, 0.006594123784452677, 0.080164834856987, 0.32385459542274475]"
episode111_000.mp4,270,0:00:09,matt,Disgust,"[0.16946722567081451, 0.125893235206604, 0.3817440867424011, 2.416900679236278e-05, 0.008205253630876541, 0.1573735773563385, 0.15729252994060516]"
episode111_000.mp4,300,0:00:10,matt,Surprise,"[0.5851430892944336, 0.00048376803169958293, 0.017357904464006424, 0.0008196589187718928, 0.007681891787797213, 0.05455444008111954, 0.33395916223526]"
episode111_000.mp4,330,0:00:11,matt,Neutral,"[0.009124883450567722, 0.0035082786343991756, 0.009177512489259243, 0.08989968150854111, 0.007767161354422569, 0.02400045655667782, 0.8565220236778259]"
episode111_000.mp4,360,0:00:12,matt,Neutral,"[0.007697805762290955, 5.478501407196745e-05, 0.0009636592585593462, 0.00048643435002304614, 0.005406153853982687, 0.003357234410941601, 0.9820338487625122]"
episode111_000.mp4,390,0:00:13,matt,Neutral,"[0.005074230954051018, 4.2586187191773206e-05, 0.012788418680429459, 0.0001483302767155692, 0.017753982916474342, 0.010763013735413551, 0.9534293413162231]"
episode111_000.mp4,420,0:00:14,matt,Neutral,"[0.006346334237605333, 0.02786516584455967, 0.24466033279895782, 0.0013589579612016678, 0.09273640811443329, 0.2765570878982544, 0.3504756987094879]"
episode111_000.mp4,450,0:00:15,matt,Neutral,"[0.002428259002044797, 0.002574833808466792, 0.019394440576434135, 0.005751779302954674, 0.01576930657029152, 0.10288166254758835, 0.8511996865272522]"
episode111_000.mp4,480,0:00:16,matt,Surprise,"[0.5971975326538086, 0.03004225343465805, 0.017802471294999123, 0.0034002228640019894, 0.0040277899242937565, 0.10221307724714279, 0.24531662464141846]"
