segment,frame_id,timestamp,speaker,emotion,scores
episode103_000.mp4,0,0:00:00,matt,Surprise,"[0.5822921991348267, 0.00015902631275821477, 0.005720464047044516, 0.0012682939413934946, 0.0007548834546469152, 0.0006192284636199474, 0.4091859459877014]"
episode103_000.mp4,30,0:00:01,matt,Neutral,"[0.18864545226097107, 0.00024631019914522767, 0.007304147817194462, 0.04717240855097771, 0.0012798241805285215, 0.004146804567426443, 0.7512051463127136]"
episode103_000.mp4,60,0:00:02,matt,Neutral,"[0.18433748185634613, 0.0014450233429670334, 0.007749541196972132, 0.0361948125064373, 0.022976061329245567, 0.019764119759202003, 0.7275329232215881]"
episode103_000.mp4,90,0:00:03,matt,Neutral,"[0.01635267771780491, 6.71505622449331e-05, 0.0020694935228675604, 0.0028561679646372795, 0.012162499129772186, 0.006885915994644165, 0.9596059918403625]"
episode103_000.mp4,120,0:00:04,matt,Neutral,"[0.027742473408579826, 4.5160279114497826e-05, 0.003055330365896225, 0.002290280070155859, 0.003097390756011009, 0.006141994148492813, 0.9576273560523987]"
episode103_000.mp4,150,0:00:05,matt,Surprise,"[0.44687268137931824, 0.05100327357649803, 0.07023878395557404, 0.0207657590508461, 0.015316193923354149, 0.12313567847013474, 0.27266767621040344]"
episode103_000.mp4,180,0:00:06,matt,Neutral,"[0.004965126048773527, 0.00013481696078088135, 0.01763174869120121, 0.013040218502283096, 0.019739819690585136, 0.005006302148103714, 0.9394819736480713]"
episode103_000.mp4,210,0:00:07,matt,Happy,"[0.000994816073216498, 0.012263625860214233, 0.04358686879277229, 0.6881164312362671, 0.006221370305866003, 0.0021227679681032896, 0.24669407308101654]"
episode103_000.mp4,240,0:00:08,matt,Happy,"[0.0008154312381520867, 4.4529526348924264e-05, 0.002462304662913084, 0.973926842212677, 0.002149333246052265, 0.0009898400167003274, 0.01961175911128521]"
episode103_000.mp4,270,0:00:09,matt,Surprise,"[0.5812657475471497, 5.434507784229936e-06, 0.003611987689509988, 0.03064126707613468, 0.0013104603858664632, 0.056139811873435974, 0.32702532410621643]"
episode103_000.mp4,300,0:00:10,matt,Happy,"[0.0018987443763762712, 9.563948697177693e-05, 0.01297810673713684, 0.8108834624290466, 0.009672142565250397, 0.005690716672688723, 0.15878121554851532]"
episode103_000.mp4,330,0:00:11,matt,Happy,"[0.00324731576256454, 0.0009334124042652547, 0.057129982858896255, 0.7940780520439148, 0.006336994469165802, 0.03579180687665939, 0.1024823784828186]"
episode103_000.mp4,360,0:00:12,matt,Neutral,"[0.0015325869899243116, 0.00015239784261211753, 0.0012940728338435292, 0.1118331030011177, 0.0064270347356796265, 0.006800871808081865, 0.8719598650932312]"
episode103_000.mp4,390,0:00:13,matt,Neutral,"[0.013209089636802673, 0.0006407363107427955, 0.039891619235277176, 0.005017045419663191, 0.02903885208070278, 0.03325006738305092, 0.8789526224136353]"
episode103_000.mp4,420,0:00:14,matt,Neutral,"[0.1384640783071518, 1.6253930880338885e-05, 0.006329837255179882, 0.01820698007941246, 0.0017525566508993506, 0.04408658668398857, 0.7911436557769775]"
episode103_000.mp4,450,0:00:15,matt,Neutral,"[0.03941817954182625, 0.0001089931683964096, 0.006169541273266077, 0.07955146580934525, 0.015819784253835678, 0.024151617661118507, 0.8347803950309753]"
episode103_000.mp4,480,0:00:16,matt,Neutral,"[0.1127716675400734, 0.00036444925353862345, 0.003867608495056629, 0.0020333395805209875, 0.02690364234149456, 0.03436083346605301, 0.8196985721588135]"
episode103_000.mp4,510,0:00:17,matt,Neutral,"[0.06911967694759369, 0.0001011465210467577, 0.0053515261970460415, 0.0005343522061593831, 0.013838902115821838, 0.009927265346050262, 0.9011271595954895]"
episode103_000.mp4,540,0:00:18,matt,Surprise,"[0.7992663979530334, 8.984943997347727e-05, 0.0018550778040662408, 0.00042931537609547377, 0.0029730875976383686, 0.002342015039175749, 0.1930442452430725]"
episode103_000.mp4,570,0:00:19,matt,Surprise,"[0.5068334937095642, 0.002698475494980812, 0.013177442364394665, 0.0014579219277948141, 0.007852929644286633, 0.03157852590084076, 0.43640124797821045]"
episode103_000.mp4,600,0:00:20,matt,Neutral,"[0.08203363418579102, 0.012260164134204388, 0.17541417479515076, 7.225264562293887e-05, 0.005418602842837572, 0.02921418659389019, 0.6955869197845459]"
episode103_000.mp4,630,0:00:21,matt,Neutral,"[0.1283172219991684, 0.011149906553328037, 0.09349429607391357, 0.00017387751722708344, 0.018023492768406868, 0.10247528553009033, 0.6463659405708313]"
episode103_000.mp4,660,0:00:22,sam,Happy,"[0.001721750944852829, 0.0001985067210625857, 0.06120695173740387, 0.7172399759292603, 0.0028557220939546824, 0.00715766754001379, 0.2096194624900818]"
episode103_000.mp4,660,0:00:22,ashley,Disgust,"[2.9072827601339668e-05, 0.44832491874694824, 0.47915080189704895, 0.002695336239412427, 0.0115142110735178, 0.05624013394117355, 0.002045456785708666]"
episode103_000.mp4,660,0:00:22,taliesin,Happy,"[7.277624536072835e-05, 1.9526660253177397e-05, 0.0012309410376474261, 0.6246041059494019, 0.0009457382257096469, 0.0030694915913045406, 0.3700574040412903]"
episode103_000.mp4,690,0:00:23,sam,Disgust,"[0.04431362450122833, 0.030410079285502434, 0.506341814994812, 0.3594764173030853, 0.0016592367319390178, 0.018935058265924454, 0.03886384516954422]"
episode103_000.mp4,690,0:00:23,ashley,Disgust,"[5.8848188928095624e-05, 0.3342028856277466, 0.33997970819473267, 0.05064941197633743, 0.04984821006655693, 0.21465958654880524, 0.010601388290524483]"
episode103_000.mp4,690,0:00:23,taliesin,Happy,"[0.010186676867306232, 0.0018430668860673904, 0.003596850438043475, 0.5282618403434753, 0.03833114355802536, 0.05989205464720726, 0.3578883111476898]"
episode103_000.mp4,720,0:00:24,sam,Neutral,"[0.0005019873497076333, 0.0001961709203897044, 0.025831228122115135, 0.3876277804374695, 0.003169021336361766, 0.0048338305205106735, 0.5778399109840393]"
episode103_000.mp4,720,0:00:24,ashley,Angry,"[8.7168205936905e-05, 0.013224603608250618, 0.11204535514116287, 0.011533769778907299, 0.11160671710968018, 0.7030429840087891, 0.04845939204096794]"
episode103_000.mp4,720,0:00:24,taliesin,Happy,"[0.001454777317121625, 9.750471508596092e-05, 0.0012147054076194763, 0.9298121333122253, 0.012629630975425243, 0.0038714450784027576, 0.05091985687613487]"
episode103_000.mp4,750,0:00:25,sam,Neutral,"[0.25955602526664734, 0.0010111189913004637, 0.014773731119930744, 0.008717536926269531, 0.0006389362388290465, 0.0017474368214607239, 0.7135551571846008]"
episode103_000.mp4,750,0:00:25,marisha,Happy,"[1.6625252101221122e-05, 0.0003511109680403024, 0.006069188006222248, 0.7851480841636658, 0.087608203291893, 0.04400311037898064, 0.07680369913578033]"
episode103_000.mp4,750,0:00:25,ashley,Happy,"[0.0010481122881174088, 0.2981359660625458, 0.04750385507941246, 0.43564945459365845, 0.053064681589603424, 0.1295458823442459, 0.03505203500390053]"
episode103_000.mp4,750,0:00:25,taliesin,Happy,"[0.0011876496719196439, 5.662045441567898e-05, 0.0013588701840490103, 0.939848780632019, 0.01663271337747574, 0.004810940008610487, 0.036104459315538406]"
episode103_000.mp4,780,0:00:26,marisha,Happy,"[3.330038452986628e-05, 0.000530501245521009, 0.006927184294909239, 0.7111552357673645, 0.09038771688938141, 0.04146873950958252, 0.149497389793396]"
episode103_000.mp4,780,0:00:26,sam,Neutral,"[0.002626027213409543, 0.00041065190453082323, 0.039542071521282196, 0.19847822189331055, 0.005344748962670565, 0.038691889494657516, 0.7149063944816589]"
episode103_000.mp4,780,0:00:26,ashley,Happy,"[9.05889319255948e-05, 0.021673165261745453, 0.07302384078502655, 0.7398344874382019, 0.031788989901542664, 0.08665414154529572, 0.04693486914038658]"
episode103_000.mp4,780,0:00:26,taliesin,Happy,"[6.223435775609687e-06, 0.00012583854550030082, 0.020330611616373062, 0.7430120706558228, 0.006831630598753691, 0.012558875605463982, 0.2171347737312317]"
episode103_000.mp4,810,0:00:27,sam,Happy,"[0.00017612190276850015, 0.001839976292103529, 0.19285368919372559, 0.7400227785110474, 0.004770549014210701, 0.011120431125164032, 0.04921642690896988]"
episode103_000.mp4,810,0:00:27,marisha,Happy,"[2.9018714485573582e-05, 0.0033117015846073627, 0.04754934087395668, 0.7474671006202698, 0.12341876327991486, 0.07035601884126663, 0.007867974229156971]"
episode103_000.mp4,810,0:00:27,taliesin,Neutral,"[0.0007883603684604168, 0.002140697790309787, 0.07813197374343872, 0.33679407835006714, 0.10361206531524658, 0.138176828622818, 0.34035593271255493]"
episode103_000.mp4,840,0:00:28,laura,Happy,"[4.79480586363934e-05, 0.0014716582372784615, 0.0002507587487343699, 0.9946900606155396, 0.00118556572124362, 0.0007277168333530426, 0.0016263524303212762]"
episode103_000.mp4,840,0:00:28,travis,Angry,"[0.28316035866737366, 0.005882985424250364, 0.04544849693775177, 0.21901538968086243, 0.04248251020908356, 0.3233049809932709, 0.08070530742406845]"
episode103_000.mp4,870,0:00:29,laura,Happy,"[0.00018773799820337445, 0.0002828272699844092, 0.00016310322098433971, 0.997179388999939, 0.00025320748682133853, 0.00019083506776951253, 0.0017428140854462981]"
episode103_000.mp4,870,0:00:29,travis,Happy,"[0.014247272163629532, 0.0005554897943511605, 0.008099045604467392, 0.7012395858764648, 0.018032368272542953, 0.03741617128252983, 0.2204100340604782]"
episode103_000.mp4,900,0:00:30,laura,Happy,"[0.00034540818887762725, 0.000196013628738001, 0.00011858525249408558, 0.9947121143341064, 0.0001971989986486733, 0.0003934460401069373, 0.004037212114781141]"
episode103_000.mp4,900,0:00:30,travis,Happy,"[0.0011606169864535332, 0.0021433457732200623, 0.013847877271473408, 0.6255461573600769, 0.017606887966394424, 0.3286169469356537, 0.011078119277954102]"
episode103_000.mp4,930,0:00:31,travis,Happy,"[0.0017434280598536134, 0.03412140905857086, 0.03356219455599785, 0.5074313879013062, 0.01348864659667015, 0.2330458015203476, 0.176607146859169]"
episode103_000.mp4,960,0:00:32,travis,Happy,"[0.0009789771866053343, 0.005662082228809595, 0.029500523582100868, 0.7137010097503662, 0.014896579086780548, 0.2099507749080658, 0.02531004510819912]"
episode103_000.mp4,960,0:00:32,laura,Happy,"[0.01347073819488287, 1.3363051039050333e-05, 0.00015474992687813938, 0.9707139134407043, 0.0032965452410280704, 0.0012757792137563229, 0.011074921116232872]"
episode103_000.mp4,990,0:00:33,laura,Happy,"[0.00030000301194377244, 0.0008410607697442174, 0.0001539072545710951, 0.9937928915023804, 0.0011697262525558472, 0.0005334579036571085, 0.0032089678570628166]"
episode103_000.mp4,1020,0:00:34,sam,Neutral,"[0.002519430359825492, 0.003386869328096509, 0.14847323298454285, 0.05079682916402817, 0.012716454453766346, 0.025986410677433014, 0.7561208009719849]"
episode103_000.mp4,1020,0:00:34,marisha,Happy,"[0.0008499444811604917, 0.0004378282465040684, 0.00563993351534009, 0.9380765557289124, 0.004284591414034367, 0.004982348065823317, 0.045728858560323715]"
episode103_000.mp4,1050,0:00:35,sam,Neutral,"[0.3526098430156708, 0.023558640852570534, 0.1884249597787857, 0.019741272553801537, 0.0008338891784660518, 0.007051824126392603, 0.4077795147895813]"
episode103_000.mp4,1050,0:00:35,marisha,Happy,"[0.000128823725390248, 5.8387202443555e-05, 0.0028404216282069683, 0.9606805443763733, 0.0018887430196627975, 0.009359996765851974, 0.025042995810508728]"
episode103_000.mp4,1050,0:00:35,ashley,Fear,"[0.0009386003948748112, 0.6633628606796265, 0.060562312602996826, 0.004961473401635885, 0.039697300642728806, 0.04544566199183464, 0.18503178656101227]"
episode103_000.mp4,1080,0:00:36,sam,Neutral,"[0.3327556550502777, 0.0008476236835122108, 0.04797625541687012, 0.005570951849222183, 0.00014747586101293564, 0.0038282310124486685, 0.6088737845420837]"
episode103_000.mp4,1080,0:00:36,marisha,Happy,"[2.0286443032091483e-05, 4.3624786485452205e-05, 0.000568430230487138, 0.9872281551361084, 0.0026022142264992, 0.001105505391024053, 0.008431796915829182]"
episode103_000.mp4,1110,0:00:37,sam,Neutral,"[0.0077132913284003735, 0.0006898588035255671, 0.04066424071788788, 0.031316280364990234, 0.004828203469514847, 0.011157345026731491, 0.903630793094635]"
episode103_000.mp4,1110,0:00:37,marisha,Neutral,"[0.00017407977429684252, 0.00045656756265088916, 0.13317550718784332, 0.0635567232966423, 0.07008057087659836, 0.006897709332406521, 0.7256587743759155]"
episode103_000.mp4,1140,0:00:38,sam,Surprise,"[0.8209594488143921, 0.01432902179658413, 0.05832667648792267, 0.002484055934473872, 0.0001421263732481748, 0.011820592917501926, 0.09193813800811768]"
episode103_000.mp4,1140,0:00:38,marisha,Happy,"[0.00027201767079532146, 0.0003283792466390878, 0.007689019199460745, 0.9237600564956665, 0.016933783888816833, 0.006479486357420683, 0.04453715682029724]"
episode103_000.mp4,1140,0:00:38,ashley,Neutral,"[0.00041267459164373577, 0.08479569852352142, 0.11470349133014679, 0.0008114618249237537, 0.026978397741913795, 0.1781848669052124, 0.5941134691238403]"
episode103_000.mp4,1170,0:00:39,sam,Neutral,"[0.0011507559102028608, 0.0020367419347167015, 0.14449818432331085, 0.07474509626626968, 0.07290676236152649, 0.04286671057343483, 0.6617957353591919]"
episode103_000.mp4,1170,0:00:39,marisha,Happy,"[0.0004942081868648529, 0.0005229759262874722, 0.00984886847436428, 0.9121285080909729, 0.007611237466335297, 0.0040943194180727005, 0.0652998611330986]"
episode103_000.mp4,1170,0:00:39,ashley,Neutral,"[5.799060090794228e-05, 0.004624886903911829, 0.06260071694850922, 0.0010480277705937624, 0.0016806665807962418, 0.021612420678138733, 0.9083753228187561]"
episode103_000.mp4,1200,0:00:40,sam,Neutral,"[0.00426787044852972, 0.014926828444004059, 0.18676958978176117, 0.044324446469545364, 0.030791614204645157, 0.04344923421740532, 0.6754704117774963]"
episode103_000.mp4,1200,0:00:40,ashley,Happy,"[0.0015968717634677887, 0.05863654240965843, 0.2621789574623108, 0.4385093152523041, 0.02803819067776203, 0.005395927932113409, 0.20564410090446472]"
episode103_000.mp4,1200,0:00:40,marisha,Happy,"[0.000124920901726, 0.000977555988356471, 0.013582057319581509, 0.9378370046615601, 0.023806527256965637, 0.0023209163919091225, 0.021350950002670288]"
episode103_000.mp4,1230,0:00:41,travis,Neutral,"[0.17953625321388245, 9.715403575683013e-05, 0.003184075001627207, 0.0014622117159888148, 0.051278360188007355, 0.08720047771930695, 0.6772414445877075]"
episode103_000.mp4,1260,0:00:42,travis,Neutral,"[0.04687705636024475, 0.0002904571301769465, 0.003248301101848483, 0.006997106596827507, 0.07429464906454086, 0.20103371143341064, 0.6672586798667908]"
episode103_000.mp4,1290,0:00:43,travis,Angry,"[0.0017307327361777425, 0.00535380095243454, 0.006058745086193085, 0.01999039016664028, 0.21614372730255127, 0.6327383518218994, 0.11798420548439026]"
episode103_000.mp4,1320,0:00:44,travis,Happy,"[5.9103858802700415e-05, 0.004617903381586075, 0.010119847021996975, 0.9290808439254761, 0.018463388085365295, 0.029504219070076942, 0.008154691196978092]"
episode103_000.mp4,1350,0:00:45,travis,Happy,"[0.00011974618246313184, 0.0002476461522746831, 0.027225103229284286, 0.9565098881721497, 0.0064458721317350864, 0.007800208404660225, 0.0016514630988240242]"
episode103_000.mp4,1380,0:00:46,sam,Angry,"[0.03185059130191803, 0.002694611204788089, 0.002954313764348626, 0.026019547134637833, 0.12191835045814514, 0.8141229152679443, 0.0004396246513351798]"
episode103_000.mp4,1380,0:00:46,marisha,Angry,"[0.0008383182575926185, 0.005082843825221062, 0.03810266777873039, 0.02140194922685623, 0.021460654214024544, 0.9129313230514526, 0.00018229559645988047]"
episode103_000.mp4,1380,0:00:46,ashley,Angry,"[0.0007383655174635351, 0.12282052636146545, 0.033014506101608276, 0.07734320312738419, 0.21296560764312744, 0.37743091583251953, 0.17568686604499817]"
episode103_000.mp4,1410,0:00:47,sam,Angry,"[0.06408441066741943, 0.04312032833695412, 0.17977401614189148, 0.012376442551612854, 0.06776589155197144, 0.6134615540504456, 0.019417401403188705]"
episode103_000.mp4,1410,0:00:47,taliesin,Happy,"[3.4355358366156e-05, 0.0001773411495378241, 0.0023927465081214905, 0.940399706363678, 0.0021716649644076824, 0.021064376458525658, 0.03375978022813797]"
episode103_000.mp4,1410,0:00:47,marisha,Happy,"[0.0007787958602420986, 7.205071597127244e-05, 0.0033538779243826866, 0.9795777201652527, 0.0006191799766384065, 0.013372567482292652, 0.0022258467506617308]"
episode103_000.mp4,1410,0:00:47,ashley,Angry,"[0.0006764534628018737, 0.13440734148025513, 0.022070061415433884, 0.1192922592163086, 0.060959380120038986, 0.366727352142334, 0.2958672046661377]"
episode103_000.mp4,1440,0:00:48,sam,Angry,"[0.11364927887916565, 0.06408444792032242, 0.17481109499931335, 0.22778747975826263, 0.007353685796260834, 0.28619223833084106, 0.12612178921699524]"
episode103_000.mp4,1440,0:00:48,marisha,Happy,"[0.0002935727534350008, 2.8608078537217807e-06, 0.0005528194596990943, 0.9828047156333923, 0.0008012762991711497, 0.004657123237848282, 0.010887612588703632]"
episode103_000.mp4,1440,0:00:48,ashley,Fear,"[5.812161361973267e-06, 0.8937984704971313, 0.06508615612983704, 0.0049410536885261536, 0.007300816476345062, 0.011161325499415398, 0.017706435173749924]"
episode103_000.mp4,1440,0:00:48,taliesin,Happy,"[0.0004115560441277921, 6.716358620906249e-05, 0.0009643480298109353, 0.8353545069694519, 0.006529372651129961, 0.004726150538772345, 0.15194697678089142]"
episode103_000.mp4,1470,0:00:49,marisha,Happy,"[0.0007009099936112761, 0.0008738761534914374, 0.010700165294110775, 0.9405381679534912, 0.015901830047369003, 0.002895569894462824, 0.028389543294906616]"
episode103_000.mp4,1470,0:00:49,sam,Angry,"[0.03545288369059563, 0.023525243625044823, 0.15694069862365723, 0.06712142378091812, 0.029594512656331062, 0.6481395363807678, 0.03922570124268532]"
episode103_000.mp4,1500,0:00:50,marisha,Happy,"[1.2105694622732699e-05, 8.523278665961698e-06, 0.004745373968034983, 0.9652639627456665, 0.0031710932962596416, 0.00011714921129168943, 0.02668182924389839]"
episode103_000.mp4,1500,0:00:50,sam,Angry,"[0.0007243123254738748, 0.010267370380461216, 0.09005581587553024, 0.038249608129262924, 0.2717713415622711, 0.5490593910217285, 0.0398721843957901]"
episode103_000.mp4,1500,0:00:50,ashley,Neutral,"[0.0015504051698371768, 0.07137460261583328, 0.01390626560896635, 0.027473974972963333, 0.021030938252806664, 0.11434951424598694, 0.7503142356872559]"
episode103_000.mp4,1530,0:00:51,laura,Happy,"[0.00019876052101608366, 0.006860947236418724, 0.0044874041341245174, 0.9845612049102783, 0.0012300432426854968, 0.0008280693436972797, 0.0018335857894271612]"
episode103_000.mp4,1530,0:00:51,travis,Happy,"[0.00012677538325078785, 7.393282430712134e-05, 0.000658798438962549, 0.9275758266448975, 0.0014198101125657558, 0.02515346370637417, 0.04499140754342079]"
episode103_000.mp4,1560,0:00:52,travis,Happy,"[0.0015034687239676714, 0.007377674803137779, 0.011392604559659958, 0.6563848853111267, 0.0034015728160738945, 0.028826411813497543, 0.29111331701278687]"
episode103_000.mp4,1590,0:00:53,travis,Happy,"[0.00024785156711004674, 0.0045608519576489925, 0.01753843203186989, 0.5071998834609985, 0.011812388896942139, 0.21716441214084625, 0.24147622287273407]"
episode103_000.mp4,1620,0:00:54,taliesin,Happy,"[0.00021859034313820302, 4.608450035448186e-05, 0.007774751633405685, 0.768671989440918, 0.0009858724661171436, 0.011770565062761307, 0.21053217351436615]"
episode103_000.mp4,1620,0:00:54,marisha,Happy,"[9.08340880414471e-05, 0.01365360151976347, 0.0650734156370163, 0.8449206352233887, 0.06878986209630966, 0.003174128942191601, 0.004297538194805384]"
episode103_000.mp4,1620,0:00:54,sam,Happy,"[0.04272418096661568, 0.002011104254052043, 0.037208832800388336, 0.764510452747345, 0.005124123767018318, 0.014615574851632118, 0.13380570709705353]"
episode103_000.mp4,1650,0:00:55,sam,Disgust,"[0.23031765222549438, 0.04022682458162308, 0.31605279445648193, 0.04573894292116165, 0.0005752971628680825, 0.27092546224594116, 0.0961630716919899]"
