segment,frame_id,timestamp,speaker,emotion,scores
episode120_000.mp4,0,0:00:00,matt,Happy,"[0.09861106425523758, 0.000305596215184778, 0.0036768880672752857, 0.6033878326416016, 0.008591149002313614, 0.010184315964579582, 0.27524319291114807]"
episode120_000.mp4,30,0:00:01,matt,Happy,"[0.06817995756864548, 0.0007662955322302878, 0.010873519815504551, 0.8412487506866455, 0.005650220438838005, 0.00457155704498291, 0.06870970129966736]"
episode120_000.mp4,60,0:00:02,matt,Happy,"[0.016395948827266693, 0.00047448923578485847, 0.012851408682763577, 0.9323470592498779, 0.0019973665475845337, 0.0046561481431126595, 0.03127763420343399]"
episode120_000.mp4,90,0:00:03,matt,Happy,"[0.03063148632645607, 0.002322671702131629, 0.01768774911761284, 0.7308757305145264, 0.003533057402819395, 0.048276711255311966, 0.16667257249355316]"
episode120_000.mp4,120,0:00:04,matt,Happy,"[0.07004478573799133, 0.0005264352657832205, 0.010353384539484978, 0.6765608787536621, 0.003427564399316907, 0.03335287794470787, 0.20573405921459198]"
episode120_000.mp4,150,0:00:05,matt,Happy,"[0.08393070101737976, 0.0009368601604364812, 0.004598671104758978, 0.47140491008758545, 0.0015274850884452462, 0.011448351666331291, 0.4261529743671417]"
episode120_000.mp4,180,0:00:06,matt,Happy,"[0.041688717901706696, 0.00015741042443551123, 0.0028985582757741213, 0.8713191151618958, 0.0025464692153036594, 0.004161191638559103, 0.07722855359315872]"
episode120_000.mp4,210,0:00:07,matt,Happy,"[0.022223787382245064, 0.0008942607673816383, 0.0522945374250412, 0.7998058199882507, 0.013683872297406197, 0.08266440033912659, 0.028433334082365036]"
episode120_000.mp4,240,0:00:08,matt,Happy,"[0.009930883534252644, 0.0025345433969050646, 0.015080559067428112, 0.9420799016952515, 0.008841917850077152, 0.013209129683673382, 0.00832307431846857]"
episode120_000.mp4,270,0:00:09,laura,Happy,"[0.00022001286561135203, 1.6273066648864187e-05, 0.00033623003400862217, 0.9665912985801697, 0.0013006596127524972, 0.004640675615519285, 0.026894787326455116]"
episode120_000.mp4,270,0:00:09,liam,Happy,"[8.119106496451423e-06, 2.6921950848191045e-05, 0.001734704477712512, 0.9917062520980835, 0.0056349062360823154, 0.00036641009501181543, 0.0005227589281275868]"
episode120_000.mp4,270,0:00:09,travis,Angry,"[0.09107821434736252, 0.0010871384292840958, 0.012289410457015038, 0.33028993010520935, 0.0045829531736671925, 0.4889509081840515, 0.07172146439552307]"
episode120_000.mp4,300,0:00:10,liam,Happy,"[7.194645149866119e-06, 2.1100127924000844e-05, 0.0007985169650055468, 0.9887974858283997, 0.009349986910820007, 0.0003119055472780019, 0.0007138588698580861]"
episode120_000.mp4,300,0:00:10,laura,Happy,"[0.0012364258291199803, 0.0012006470933556557, 0.0040382095612585545, 0.9686537981033325, 0.003960791043937206, 0.01743515208363533, 0.0034749831538647413]"
episode120_000.mp4,300,0:00:10,travis,Happy,"[0.012112785130739212, 0.00020183736342005432, 0.00091643346240744, 0.8525656461715698, 0.0525919571518898, 0.06156420707702637, 0.020047180354595184]"
episode120_000.mp4,330,0:00:11,laura,Happy,"[5.86997703067027e-05, 2.7290041543892585e-05, 0.00212244619615376, 0.9910610318183899, 0.005458487663418055, 0.0007114944164641201, 0.0005606486229225993]"
episode120_000.mp4,330,0:00:11,liam,Happy,"[2.6473346679267706e-06, 2.4588194719399326e-05, 0.003465831745415926, 0.9811520576477051, 0.014553714543581009, 0.000359996483894065, 0.0004411684349179268]"
episode120_000.mp4,360,0:00:12,matt,Happy,"[6.009984645061195e-05, 0.00016078722546808422, 0.005084896460175514, 0.9267807602882385, 0.027047675102949142, 0.018284806981682777, 0.022580990567803383]"
episode120_000.mp4,390,0:00:13,matt,Happy,"[0.0018169254763051867, 6.825847231084481e-05, 0.004735829308629036, 0.9441155195236206, 0.0030007304158061743, 0.004344014450907707, 0.04191870987415314]"
episode120_000.mp4,420,0:00:14,matt,Happy,"[0.23752433061599731, 4.602102853823453e-05, 0.0037571785505861044, 0.46647030115127563, 0.002770011778920889, 0.013919315300881863, 0.27551278471946716]"
